node_id,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
0,0.2367,-6.12565445026178,-78.75,1020.506221088759,654.3149613264651,116.49976328427086,482.3017625069006,0.356272031444775,905.25
0,1.1514,-6.12565445026178,-78.75,1020.506221088759,654.3149613264651,116.49976328427086,482.3017625069006,0.2121073371073371,12.083333333333334
0,3.112,-6.12565445026178,-78.75,1020.506221088759,654.3149613264651,116.49976328427086,482.3017625069006,0.0,0.25
1,0.2367,-5.183246073298429,-78.75,1102.4585473175773,781.1741324980367,135.5663803154674,578.4080119273729,0.37346683723054547,1347.5
1,1.1514,-5.183246073298429,-78.75,1102.4585473175773,781.1741324980367,135.5663803154674,578.4080119273729,0.2590506715506715,15.416666666666666
1,3.112,-5.183246073298429,-78.75,1102.4585473175773,781.1741324980367,135.5663803154674,578.4080119273729,0.06944444444444443,2.0833333333333335
2,0.2367,-4.240837696335079,-78.75,1395.9542806448185,903.1064301647341,191.36627742724792,721.1471950982475,0.39275749994684683,1996.3333333333333
2,1.1514,-4.240837696335079,-78.75,1395.9542806448185,903.1064301647341,191.36627742724792,721.1471950982475,0.24836837545170876,22.666666666666668
2,3.112,-4.240837696335079,-78.75,1395.9542806448185,903.1064301647341,191.36627742724792,721.1471950982475,0.03472222222222222,2.75
3,0.2367,-3.298429319371728,-78.75,1448.8449074849677,855.5518473887447,166.70141074360797,712.4305868738558,0.3954403364814305,2055.3333333333335
3,1.1514,-3.298429319371728,-78.75,1448.8449074849677,855.5518473887447,166.70141074360797,712.4305868738558,0.241574960418244,26.5
3,3.112,-3.298429319371728,-78.75,1448.8449074849677,855.5518473887447,166.70141074360797,712.4305868738558,0.027777777777777766,1.4166666666666667
4,0.2367,-2.356020942408377,-78.75,1591.1814566371206,1005.5905178266925,183.11239397207046,803.3015170131537,0.39096980498012224,2270.1666666666665
4,1.1514,-2.356020942408377,-78.75,1591.1814566371206,1005.5905178266925,183.11239397207046,803.3015170131537,0.23954899267399266,31.833333333333332
4,3.112,-2.356020942408377,-78.75,1591.1814566371206,1005.5905178266925,183.11239397207046,803.3015170131537,0.04166666666666665,3.3333333333333335
5,0.2367,-1.4136125654450262,-78.75,1748.4357374171707,920.349177419338,177.86888592541754,769.7560307042955,0.3880909276484102,2090.6666666666665
5,1.1514,-1.4136125654450262,-78.75,1748.4357374171707,920.349177419338,177.86888592541754,769.7560307042955,0.26307101123277593,29.5
5,3.112,-1.4136125654450262,-78.75,1748.4357374171707,920.349177419338,177.86888592541754,769.7560307042955,0.1111111111111111,1.8333333333333333
6,0.2367,-8.952879581151834,-77.5,1291.6987877761633,780.0270878371834,166.68616537895534,981.2928194122092,0.2690493404152585,3613.8333333333335
6,1.1514,-8.952879581151834,-77.5,1291.6987877761633,780.0270878371834,166.68616537895534,981.2928194122092,0.19427676933216423,61.416666666666664
6,3.112,-8.952879581151834,-77.5,1291.6987877761633,780.0270878371834,166.68616537895534,981.2928194122092,0.13234126984126984,6.083333333333333
7,0.2367,-8.010471204188482,-77.5,1093.06746285967,714.6682506433478,196.63658892041724,690.235727583086,0.30849466661963576,2198.9166666666665
7,1.1514,-8.010471204188482,-77.5,1093.06746285967,714.6682506433478,196.63658892041724,690.235727583086,0.24556672902261137,25.0
7,3.112,-8.010471204188482,-77.5,1093.06746285967,714.6682506433478,196.63658892041724,690.235727583086,0.19027777777777777,1.9166666666666667
8,0.2367,-7.0680628272251305,-77.5,1172.4821813649214,771.295387538269,220.3438231565183,632.5943731503472,0.3154308320138438,1771.3333333333333
8,1.1514,-7.0680628272251305,-77.5,1172.4821813649214,771.295387538269,220.3438231565183,632.5943731503472,0.22856551808757689,19.333333333333332
8,3.112,-7.0680628272251305,-77.5,1172.4821813649214,771.295387538269,220.3438231565183,632.5943731503472,0.13333333333333333,1.0
9,0.2367,-6.12565445026178,-77.5,1329.341681095669,973.966915038573,253.64947750921584,660.6846435453776,0.2938495125032482,1897.9166666666667
9,1.1514,-6.12565445026178,-77.5,1329.341681095669,973.966915038573,253.64947750921584,660.6846435453776,0.19334586062849735,27.75
9,3.112,-6.12565445026178,-77.5,1329.341681095669,973.966915038573,253.64947750921584,660.6846435453776,0.0625,1.3333333333333333
10,0.2367,-5.183246073298429,-77.5,1518.7470786133579,1124.1979708365666,292.8553701666807,576.06461780592,0.35459841153367,1462.6666666666667
10,1.1514,-5.183246073298429,-77.5,1518.7470786133579,1124.1979708365666,292.8553701666807,576.06461780592,0.18450317837572738,18.666666666666668
10,3.112,-5.183246073298429,-77.5,1518.7470786133579,1124.1979708365666,292.8553701666807,576.06461780592,0.041666666666666664,1.25
11,0.2367,-4.240837696335079,-77.5,1565.885691534378,1230.9059475542103,336.4339202830571,633.1245780652428,0.39859676805136374,1721.5
11,1.1514,-4.240837696335079,-77.5,1565.885691534378,1230.9059475542103,336.4339202830571,633.1245780652428,0.21559502486550977,19.583333333333332
11,3.112,-4.240837696335079,-77.5,1565.885691534378,1230.9059475542103,336.4339202830571,633.1245780652428,0.05555555555555555,0.8333333333333334
12,0.2367,-3.298429319371728,-77.5,1779.5737984148873,1101.0900657268678,332.68726733480537,615.1217272536915,0.37756791513273263,1585.9166666666667
12,1.1514,-3.298429319371728,-77.5,1779.5737984148873,1101.0900657268678,332.68726733480537,615.1217272536915,0.21407315451433095,13.0
12,3.112,-3.298429319371728,-77.5,1779.5737984148873,1101.0900657268678,332.68726733480537,615.1217272536915,0.06944444444444443,0.6666666666666666
13,0.2367,-2.356020942408377,-77.5,1932.2544748493942,1073.5647584589558,289.9683435605166,618.4066967322768,0.3824875045798766,1538.4166666666667
13,1.1514,-2.356020942408377,-77.5,1932.2544748493942,1073.5647584589558,289.9683435605166,618.4066967322768,0.23234559578391886,16.583333333333332
13,3.112,-2.356020942408377,-77.5,1932.2544748493942,1073.5647584589558,289.9683435605166,618.4066967322768,0.0,0.5833333333333334
14,0.2367,-1.4136125654450262,-77.5,2170.681190835213,966.1584373624836,275.2670163061225,652.4213541600152,0.3758371721440638,1565.1666666666667
14,1.1514,-1.4136125654450262,-77.5,2170.681190835213,966.1584373624836,275.2670163061225,652.4213541600152,0.236922443478816,23.5
