node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,0.2367,104.73920928399208,,0,28,0.5013227513227513,407
1,-5.183246073298429,-78.75,0.2367,107.26952300187672,,2,30,0.4827586206896552,455
2,-4.2408376963350785,-78.75,0.2367,142.97233532312117,,6,37,0.4095354523227384,612
3,-3.298429319371728,-78.75,0.2367,154.77456365742617,,2,41,0.4054878048780488,712
4,-2.356020942408377,-78.75,0.2367,173.28229603485215,,2,51,0.37137254901960787,1015
5,-1.4136125654450262,-78.75,0.2367,193.1345376481405,,0,58,0.37416817906836053,1295
6,-8.952879581151834,-77.5,0.2367,124.54393839125366,,0,40,0.45256410256410257,746
7,-8.010471204188482,-77.5,0.2367,118.41552927469371,,4,37,0.45878378378378376,652
8,-7.0680628272251305,-77.5,0.2367,112.85630125055926,,6,30,0.48125,454
9,-6.12565445026178,-77.5,0.2367,116.62601845971938,,8,28,0.4661319073083779,403
10,-5.183246073298429,-77.5,0.2367,144.79408280626822,,11,26,0.43686868686868685,371
11,-4.2408376963350785,-77.5,0.2367,173.8850482062909,,14,35,0.4049165120593692,605
12,-3.298429319371728,-77.5,0.2367,211.25011091119816,,14,41,0.3879184861717613,750
13,-2.356020942408377,-77.5,0.2367,229.46299872155237,,8,49,0.4055967633175995,1060
14,-1.4136125654450262,-77.5,0.2367,247.59293622438906,,9,59,0.37144190387307513,1424
15,-0.4712041884816754,-77.5,0.2367,235.41478197610212,,5,52,0.43728927848954824,1251
16,0.4712041884816754,-77.5,0.2367,199.6068663676616,,3,45,0.4734042553191489,997
17,-10.837696335078537,-76.25,0.2367,107.40616215327991,,0,24,0.5271739130434783,315
18,-9.895287958115185,-76.25,0.2367,121.76108383505334,,2,32,0.47681451612903225,515
19,-8.952879581151834,-76.25,0.2367,203.18706050520552,,8,51,0.35853199498117944,1009
20,-8.010471204188482,-76.25,0.2367,163.2684786471243,,11,38,0.4161260426320667,651
21,-7.0680628272251305,-76.25,0.2367,173.51454231091174,,19,37,0.4049789621318373,638
22,-6.12565445026178,-76.25,0.2367,182.67480258241346,,26,38,0.3740053050397878,666
23,-5.183246073298429,-76.25,0.2367,178.73703916065335,,31,39,0.3622741295724989,710
24,-4.2408376963350785,-76.25,0.2367,170.91351217037496,,27,41,0.35804490177736203,774
25,-3.298429319371728,-76.25,0.2367,191.79420355665837,,22,50,0.3637873754152824,1090
26,-2.356020942408377,-76.25,0.2367,223.36584696868997,,18,63,0.3719115734720416,1674
27,-1.4136125654450262,-76.25,0.2367,242.06380392952667,,18,63,0.3836150845253576,1731
28,-0.4712041884816754,-76.25,0.2367,257.8701592942354,,17,48,0.4165811088295688,1113
29,0.4712041884816754,-76.25,0.2367,333.53537162467563,,8,56,0.4235044997353097,1445
30,1.4136125654450262,-76.25,0.2367,276.5712113495207,,3,38,0.5114864864864865,764
31,-13.664921465968591,-75.0,0.2367,21.16877251637395,,0,3,0.6666666666666666,7
32,-12.72251308900524,-75.0,0.2367,66.70906412406583,,0,14,0.6483516483516484,132
33,-11.780104712041888,-75.0,0.2367,105.04218047638807,,2,28,0.5026455026455027,422
34,-10.837696335078537,-75.0,0.2367,232.64145253702316,,8,49,0.35353535353535354,977
35,-9.895287958115185,-75.0,0.2367,176.52387805640103,,23,36,0.3746859296482412,634
36,-8.952879581151834,-75.0,0.2367,135.8329632503588,,31,30,0.38615023474178406,460
37,-8.010471204188482,-75.0,0.2367,130.82431948837046,,36,32,0.3819672131147541,509
38,-7.0680628272251305,-75.0,0.2367,147.31515345533074,,36,40,0.34416790490341753,716
39,-6.12565445026178,-75.0,0.2367,186.727083003624,,38,51,0.3123827392120075,1037
40,-5.183246073298429,-75.0,0.2367,213.84150873670922,,40,57,0.29533213644524237,1330
41,-4.2408376963350785,-75.0,0.2367,242.5968391093228,,38,75,0.275262467191601,2051
42,-3.298429319371728,-75.0,0.2367,283.8177179273189,,36,90,0.27051332545621637,2812
43,-2.356020942408377,-75.0,0.2367,299.70619562786743,,23,97,0.3052936910804931,3267
44,-1.4136125654450262,-75.0,0.2367,317.82763526754235,,23,95,0.31609367962768353,3178
45,-0.4712041884816754,-75.0,0.2367,294.5747982704842,,21,71,0.36593296648324164,2069
46,0.4712041884816754,-75.0,0.2367,253.47502654074148,,15,49,0.4408801696712619,1164
47,1.4136125654450262,-75.0,0.2367,269.3092333972652,,9,37,0.4809322033898305,724
48,2.356020942408377,-75.0,0.2367,253.4181014217167,,3,26,0.5428571428571428,381
49,-14.607329842931941,-73.75,0.2367,28.950121320027293,,1,5,0.5666666666666667,17
50,-13.664921465968591,-73.75,0.2367,65.58246636035815,,0,16,0.6416666666666667,170
51,-12.72251308900524,-73.75,0.2367,203.5075487802566,,6,34,0.4544807965860597,617
52,-11.780104712041888,-73.75,0.2367,174.61134905370483,,11,48,0.34868421052631576,981
53,-10.837696335078537,-73.75,0.2367,129.9085303960412,,29,29,0.40091264667535853,458
54,-9.895287958115185,-73.75,0.2367,129.92397232020272,,38,33,0.386986301369863,546
55,-8.952879581151834,-73.75,0.2367,138.69603942996685,,44,40,0.35172309552599756,730
56,-8.010471204188482,-73.75,0.2367,173.83285822339835,,47,57,0.2836154893948239,1207
57,-7.0680628272251305,-73.75,0.2367,202.50679222834398,,45,69,0.2676873489121676,1650
58,-6.12565445026178,-73.75,0.2367,222.17567393839806,,40,62,0.2786205501618123,1504
59,-5.183246073298429,-73.75,0.2367,220.24886078628472,,43,55,0.28572996706915477,1310
60,-4.2408376963350785,-73.75,0.2367,231.51919366750622,,36,58,0.31519138755980863,1400
61,-3.298429319371728,-73.75,0.2367,267.0080175073724,,31,71,0.3235234627831715,1974
62,-2.356020942408377,-73.75,0.2367,289.9514469602384,,31,77,0.3191546762589928,2245
63,-1.4136125654450262,-73.75,0.2367,305.2643389456012,,25,80,0.3408917682926829,2454
64,-0.4712041884816754,-73.75,0.2367,299.09257199509136,,23,73,0.3618873110398534,2153
65,0.4712041884816754,-73.75,0.2367,299.6681198415081,,23,57,0.3928928928928929,1433
66,1.4136125654450262,-73.75,0.2367,274.34953930521215,,18,38,0.4429671098670399,726
67,-14.607329842931941,-72.5,0.2367,58.255299597157936,,0,22,0.5714285714285714,285
68,-13.664921465968591,-72.5,0.2367,133.99920418109878,,0,26,0.5969230769230769,414
69,-12.72251308900524,-72.5,0.2367,187.67067274416678,,2,36,0.5015873015873016,679
70,-11.780104712041888,-72.5,0.2367,147.39163255004564,,24,29,0.42559055118110234,486
71,-10.837696335078537,-72.5,0.2367,136.0488432511024,,43,29,0.40462307371928363,480
72,-9.895287958115185,-72.5,0.2367,145.1770235509145,,50,39,0.3466595116715857,702
73,-8.952879581151834,-72.5,0.2367,146.1303350626286,,46,46,0.32273410115172757,883
74,-8.010471204188482,-72.5,0.2367,157.9341093909361,,41,49,0.318717277486911,994
75,-7.0680628272251305,-72.5,0.2367,182.52865321104753,,46,49,0.29091547646921095,1058
76,-6.12565445026178,-72.5,0.2367,212.02250066465058,,41,56,0.2826086956521739,1265
77,-5.183246073298429,-72.5,0.2367,242.04617046361483,,51,54,0.27224233187273766,1233
78,-4.2408376963350785,-72.5,0.2367,260.18467918186684,,42,61,0.30079286422200197,1494
79,-3.298429319371728,-72.5,0.2367,269.95465652945285,,34,70,0.31684803731053246,1855
80,-2.356020942408377,-72.5,0.2367,295.4191439955731,,34,80,0.310336499758493,2321
81,-1.4136125654450262,-72.5,0.2367,303.6703963444935,,30,75,0.33739759954277004,2186
82,-0.4712041884816754,-72.5,0.2367,306.62125570035033,,28,65,0.3639696895624542,1735
83,0.4712041884816754,-72.5,0.2367,315.05611794273347,,25,53,0.39595782073813707,1233
84,1.4136125654450262,-72.5,0.2367,310.25104676039285,,19,40,0.4425251256281407,783
85,-14.607329842931941,-71.25,0.2367,80.79285308976466,,0,34,0.49019607843137253,584
86,-13.664921465968591,-71.25,0.2367,210.17161914362336,,0,40,0.4564102564102564,752
87,-12.72251308900524,-71.25,0.2367,236.82697447411016,,18,47,0.3566666666666667,934
88,-11.780104712041888,-71.25,0.2367,167.5533084044585,,36,26,0.41818181818181815,412
89,-10.837696335078537,-71.25,0.2367,137.05213902155765,,49,28,0.37585957292797684,424
90,-9.895287958115185,-71.25,0.2367,140.61580883882587,,53,37,0.33831236897274636,642
91,-8.952879581151834,-71.25,0.2367,153.34215670359447,,46,43,0.3295819935691318,812
92,-8.010471204188482,-71.25,0.2367,169.67818817188765,,32,44,0.34916512059369204,896
93,-7.0680628272251305,-71.25,0.2367,198.32099191686746,,39,50,0.3192771084337349,1114
94,-6.12565445026178,-71.25,0.2367,225.56450397693044,,38,62,0.29258791324489364,1507
95,-5.183246073298429,-71.25,0.2367,247.54126952238445,,31,61,0.32729317670582353,1455
96,-4.2408376963350785,-71.25,0.2367,266.3845506808899,,43,64,0.3030803080308031,1532
97,-3.298429319371728,-71.25,0.2367,264.3897305173659,,37,61,0.33373573309920984,1472
98,-2.356020942408377,-71.25,0.2367,280.7623385090567,,37,71,0.3213450818198166,1911
99,-1.4136125654450262,-71.25,0.2367,298.8478211847206,,32,68,0.354074542008844,1821
100,-0.4712041884816754,-71.25,0.2367,311.2020669777422,,33,62,0.3656681488415633,1556
101,0.4712041884816754,-71.25,0.2367,325.34530879955736,,31,53,0.38751507840772015,1188
102,1.4136125654450262,-71.25,0.2367,324.5456628528678,,20,42,0.43629671574178935,813
