node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,0.2367,0.0,,0,32,0.5020161290322581,530
1,-5.183246073298429,-78.75,0.2367,20.851550913165898,,10,34,0.4831395348837209,578
2,-4.2408376963350785,-78.75,0.2367,88.31676548173657,,26,41,0.4520943668753009,763
3,-3.298429319371728,-78.75,0.2367,56.99180676951529,,16,44,0.4481818181818182,876
4,-2.356020942408377,-78.75,0.2367,26.106150893121065,,3,49,0.4113562091503268,1029
5,-1.4136125654450262,-78.75,0.2367,9.099497019519546,,1,53,0.4008295625942685,1168
6,-8.952879581151834,-77.5,0.2367,2.9161935137194415,,0,153,0.2679738562091503,6385
7,-8.010471204188482,-77.5,0.2367,64.55670481230646,,8,106,0.35530339610494127,3900
8,-7.0680628272251305,-77.5,0.2367,76.27029281799668,,12,86,0.37749506470717265,2663
9,-6.12565445026178,-77.5,0.2367,93.8420481230496,,19,102,0.34000569881749537,3345
10,-5.183246073298429,-77.5,0.2367,131.04085526735793,,28,71,0.3947990543735225,1919
11,-4.2408376963350785,-77.5,0.2367,137.4692920844438,,38,47,0.4226015303119482,978
12,-3.298429319371728,-77.5,0.2367,144.81607453155345,,43,41,0.4119155354449472,764
13,-2.356020942408377,-77.5,0.2367,105.41343595486174,,36,38,0.43240595611285265,657
14,-1.4136125654450262,-77.5,0.2367,177.4836702029477,,40,43,0.4106646058732612,842
15,-0.4712041884816754,-77.5,0.2367,161.2632590053539,,29,43,0.41476565740356697,805
16,0.4712041884816754,-77.5,0.2367,136.14879102753932,,22,39,0.4261430246189918,673
17,-10.837696335078537,-76.25,0.2367,0.0,,0,160,0.2636792452830189,6868
18,-9.895287958115185,-76.25,0.2367,16.44450742271747,,2,153,0.2714138286893705,6466
19,-8.952879581151834,-76.25,0.2367,180.91254209802943,,16,159,0.2767058823529412,6567
20,-8.010471204188482,-76.25,0.2367,129.54095461325164,,22,81,0.3983554586883297,2534
21,-7.0680628272251305,-76.25,0.2367,143.82046739496008,,30,56,0.42650014355440713,1320
22,-6.12565445026178,-76.25,0.2367,157.4092465841867,,41,63,0.40155490767735663,1561
23,-5.183246073298429,-76.25,0.2367,168.72327139385257,,48,67,0.38686708860759494,1726
24,-4.2408376963350785,-76.25,0.2367,133.2359811004667,,50,51,0.40464396284829723,1095
25,-3.298429319371728,-76.25,0.2367,140.3429581693966,,53,46,0.3987096774193548,890
26,-2.356020942408377,-76.25,0.2367,139.07731424654807,,50,44,0.4105263157894737,871
27,-1.4136125654450262,-76.25,0.2367,157.22776808642516,,53,37,0.40397697540554683,640
28,-0.4712041884816754,-76.25,0.2367,193.64833555114043,,55,31,0.39399597816719334,462
29,0.4712041884816754,-76.25,0.2367,188.8688883405641,,45,25,0.41311042674879017,308
30,1.4136125654450262,-76.25,0.2367,125.56631974712498,,22,14,0.4775985663082437,103
31,-13.664921465968591,-75.0,0.2367,0.0,,0,0,0.0,0
32,-12.72251308900524,-75.0,0.2367,0.0,,0,94,0.3845801876000915,3456
33,-11.780104712041888,-75.0,0.2367,36.594278353367976,,3,148,0.2855523308543443,6363
34,-10.837696335078537,-75.0,0.2367,214.05179725208242,,17,163,0.2723809523809524,6870
35,-9.895287958115185,-75.0,0.2367,229.90803580289247,,28,118,0.33908101806877794,4513
36,-8.952879581151834,-75.0,0.2367,190.50654336809365,,37,87,0.3736785036595283,2751
37,-8.010471204188482,-75.0,0.2367,172.72892811818232,,43,82,0.37630034675913576,2432
38,-7.0680628272251305,-75.0,0.2367,148.8321148093567,,47,58,0.4029153963414634,1333
39,-6.12565445026178,-75.0,0.2367,151.8282723696052,,53,64,0.38845625286303254,1555
40,-5.183246073298429,-75.0,0.2367,156.48492067171304,,59,72,0.3663636363636364,1899
41,-4.2408376963350785,-75.0,0.2367,162.3833607277935,,63,77,0.3518420495447809,2169
42,-3.298429319371728,-75.0,0.2367,172.9848138190068,,66,71,0.3469410333001438,1876
43,-2.356020942408377,-75.0,0.2367,155.44561482519666,,67,62,0.3551150575287644,1476
44,-1.4136125654450262,-75.0,0.2367,154.1085050937849,,63,50,0.3613934426229508,1039
45,-0.4712041884816754,-75.0,0.2367,159.2096528308452,,59,36,0.39070910367423356,577
46,0.4712041884816754,-75.0,0.2367,130.97116453343574,,51,22,0.40189363416599516,237
47,1.4136125654450262,-75.0,0.2367,138.64571668928076,,41,9,0.42095914742451157,45
48,2.356020942408377,-75.0,0.2367,101.61229645557474,,14,5,0.5518518518518518,16
49,-14.607329842931941,-73.75,0.2367,0.1876383918038403,,0,2,0.5,3
50,-13.664921465968591,-73.75,0.2367,0.0,,0,50,0.4710204081632653,1204
51,-12.72251308900524,-73.75,0.2367,50.891169751774726,,6,147,0.29258278145695366,6404
52,-11.780104712041888,-73.75,0.2367,111.46616559200058,,15,157,0.27638540796435535,6732
53,-10.837696335078537,-73.75,0.2367,187.9673293296322,,31,85,0.3755241497126883,2817
54,-9.895287958115185,-73.75,0.2367,185.56171977495893,,44,81,0.3629150553407121,2517
55,-8.952879581151834,-73.75,0.2367,164.97470526934393,,51,77,0.37558774939636547,2318
56,-8.010471204188482,-73.75,0.2367,157.1456558577426,,55,71,0.37998687664041997,2022
57,-7.0680628272251305,-73.75,0.2367,159.5991359771463,,63,67,0.37404580152671757,1810
58,-6.12565445026178,-73.75,0.2367,164.28087478840524,,65,65,0.3802634819010096,1734
59,-5.183246073298429,-73.75,0.2367,177.53904901931338,,71,76,0.35339787213649,2217
60,-4.2408376963350785,-73.75,0.2367,182.41708762499465,,72,71,0.35325425790754256,1988
61,-3.298429319371728,-73.75,0.2367,185.438518666206,,77,70,0.33213532681617786,1836
62,-2.356020942408377,-73.75,0.2367,172.67683088841272,,78,56,0.3457175925925926,1294
63,-1.4136125654450262,-73.75,0.2367,140.47776272321332,,71,47,0.3623612361236124,978
64,-0.4712041884816754,-73.75,0.2367,141.90136050023358,,68,36,0.37577700077700077,621
65,0.4712041884816754,-73.75,0.2367,160.23597016411472,,64,21,0.39447383891828336,236
66,1.4136125654450262,-73.75,0.2367,169.29177595991905,,64,10,0.3859546165884194,60
67,-14.607329842931941,-72.5,0.2367,0.0,,0,48,0.4875886524822695,1148
68,-13.664921465968591,-72.5,0.2367,0.0,,0,153,0.2874957000343997,6839
69,-12.72251308900524,-72.5,0.2367,17.027728268056872,,4,162,0.27379171030974114,7181
70,-11.780104712041888,-72.5,0.2367,202.59069388367408,,28,97,0.3540194640714571,3472
71,-10.837696335078537,-72.5,0.2367,204.74214365834783,,50,72,0.3596159237454444,2217
72,-9.895287958115185,-72.5,0.2367,177.75199076232678,,58,74,0.3585581284316066,2285
73,-8.952879581151834,-72.5,0.2367,166.1669390306671,,61,69,0.3617335631617828,2049
74,-8.010471204188482,-72.5,0.2367,159.3574904033314,,66,71,0.35147693328908064,2066
75,-7.0680628272251305,-72.5,0.2367,157.11672961769466,,72,68,0.34582407113369323,1909
76,-6.12565445026178,-72.5,0.2367,165.79845016482452,,77,62,0.35612244897959183,1654
77,-5.183246073298429,-72.5,0.2367,182.66731374161282,,81,71,0.3373175754319993,2007
78,-4.2408376963350785,-72.5,0.2367,192.40686915793907,,80,73,0.3407404135006185,2095
79,-3.298429319371728,-72.5,0.2367,189.27518781563322,,86,66,0.32921479093920675,1683
80,-2.356020942408377,-72.5,0.2367,183.7846864685058,,88,56,0.3277033779732161,1272
81,-1.4136125654450262,-72.5,0.2367,138.08488318270875,,77,45,0.3649803811659193,897
82,-0.4712041884816754,-72.5,0.2367,141.41365119892436,,75,37,0.3691588785046729,645
83,0.4712041884816754,-72.5,0.2367,143.82345898358076,,69,27,0.3913690476190476,375
84,1.4136125654450262,-72.5,0.2367,136.7555767284614,,65,15,0.40706195869420386,131
85,-14.607329842931941,-71.25,0.2367,0.0,,0,166,0.2737130339539978,7663
86,-13.664921465968591,-71.25,0.2367,0.0,,0,194,0.23559104748677956,9015
87,-12.72251308900524,-71.25,0.2367,194.5254709855723,,19,138,0.30382133579150256,5764
88,-11.780104712041888,-71.25,0.2367,226.01335078505764,,41,70,0.3685597687468118,2155
89,-10.837696335078537,-71.25,0.2367,173.64557432436476,,47,64,0.3754039802687532,1852
90,-9.895287958115185,-71.25,0.2367,171.8265322213718,,55,75,0.349384236453202,2321
91,-8.952879581151834,-71.25,0.2367,167.6843036895381,,59,79,0.33653112395072493,2488
92,-8.010471204188482,-71.25,0.2367,143.17199851720355,,64,67,0.35006060606060607,1866
93,-7.0680628272251305,-71.25,0.2367,156.79540887161505,,76,63,0.3353920515574651,1644
94,-6.12565445026178,-71.25,0.2367,160.89073979636132,,80,61,0.339906103286385,1563
95,-5.183246073298429,-71.25,0.2367,161.3507470831023,,81,70,0.3324410163339383,1970
96,-4.2408376963350785,-71.25,0.2367,196.1427293283856,,90,72,0.31473179172565674,2033
97,-3.298429319371728,-71.25,0.2367,193.18583332784692,,90,62,0.3326618318560301,1552
98,-2.356020942408377,-71.25,0.2367,172.7696152781634,,92,55,0.3340680402491615,1219
99,-1.4136125654450262,-71.25,0.2367,139.19670210396015,,84,43,0.3600568035114898,815
100,-0.4712041884816754,-71.25,0.2367,151.43729626078354,,87,34,0.3670371953826422,551
101,0.4712041884816754,-71.25,0.2367,147.6654518980848,,84,25,0.37482357092448837,331
102,1.4136125654450262,-71.25,0.2367,105.21636420729511,,50,17,0.44684944684944683,172
103,-13.664921465968591,-70.0,0.2367,58.77958158394271,,5,144,0.2944739539651477,6089
104,-12.72251308900524,-70.0,0.2367,258.2487562839587,,32,104,0.33926566359757465,4027
105,-11.780104712041888,-70.0,0.2367,170.90218215476466,,40,73,0.36801114936874896,2306
106,-10.837696335078537,-70.0,0.2367,158.97836062310154,,47,76,0.35213015304012135,2382
107,-9.895287958115185,-70.0,0.2367,170.5759747869897,,50,82,0.32824063022201,2640
108,-8.952879581151834,-70.0,0.2367,169.57468691079634,,58,72,0.3267454746952346,2106
109,-8.010471204188482,-70.0,0.2367,137.81396682944643,,60,61,0.3398431931575196,1603
110,-7.0680628272251305,-70.0,0.2367,145.64061352296287,,74,59,0.3249500528851804,1509
111,-6.12565445026178,-70.0,0.2367,158.5586568476044,,77,66,0.32334752635847525,1824
112,-5.183246073298429,-70.0,0.2367,182.8147520764803,,83,70,0.32131813764466827,1936
113,-4.2408376963350785,-70.0,0.2367,192.1204793215216,,86,75,0.31549183592194346,2093
114,-3.298429319371728,-70.0,0.2367,196.63158755073795,,87,64,0.33516333938294013,1614
115,-2.356020942408377,-70.0,0.2367,164.61500803387656,,89,49,0.35825613079019075,1045
116,-1.4136125654450262,-70.0,0.2367,155.21855090069502,,91,47,0.3470678003052104,899
117,-0.4712041884816754,-70.0,0.2367,185.41163280502323,,100,39,0.33691332832134036,657
118,0.4712041884816754,-70.0,0.2367,181.31506471366916,,90,26,0.3759322560596644,348
119,1.4136125654450262,-70.0,0.2367,152.66323825295663,,76,18,0.40437485058570405,187
120,-15.549738219895294,-68.75,0.2367,0.0,,0,136,0.30811546840958604,5793
121,-14.607329842931941,-68.75,0.2367,28.734478038676613,,3,118,0.3358495940749181,4741
122,-13.664921465968591,-68.75,0.2367,262.2156046905659,,23,120,0.31873923178271,4786
123,-12.72251308900524,-68.75,0.2367,187.9275432324002,,33,82,0.35723320158102767,2692
124,-11.780104712041888,-68.75,0.2367,156.13513677870156,,41,83,0.33134490238611713,2664
125,-10.837696335078537,-68.75,0.2367,162.07688628244208,,46,85,0.31012121212121213,2726
126,-9.895287958115185,-68.75,0.2367,155.87963821209047,,51,73,0.30370219690805533,2128
127,-8.952879581151834,-68.75,0.2367,143.32027166105806,,56,56,0.31541158791117047,1376
128,-8.010471204188482,-68.75,0.2367,148.93293444536323,,65,53,0.31069927971188477,1261
129,-7.0680628272251305,-68.75,0.2367,158.18696508601155,,72,59,0.3000606060606061,1513
130,-6.12565445026178,-68.75,0.2367,166.42120626515666,,81,61,0.3004936240230358,1574
131,-5.183246073298429,-68.75,0.2367,180.57812850625007,,81,61,0.3227581242287125,1545
132,-4.2408376963350785,-68.75,0.2367,205.23995869197697,,87,65,0.312874921658161,1637
133,-3.298429319371728,-68.75,0.2367,194.71095083783908,,89,61,0.32951618837380425,1455
134,-2.356020942408377,-68.75,0.2367,179.68471374081514,,91,53,0.3453273363318341,1135
135,-1.4136125654450262,-68.75,0.2367,180.5347964458616,,95,47,0.34692513368983957,894
136,-0.4712041884816754,-68.75,0.2367,208.75957932811457,,99,43,0.34214315096668035,738
137,0.4712041884816754,-68.75,0.2367,207.1446615482204,,98,32,0.35723959615858164,454
138,1.4136125654450262,-68.75,0.2367,187.7290275925775,,78,22,0.40351801137560567,243
139,2.356020942408377,-68.75,0.2367,195.2641506786278,,65,14,0.41310297639411564,112
140,-16.492146596858646,-67.5,0.2367,0.0,,0,103,0.34875309347039785,3767
141,-15.549738219895294,-67.5,0.2367,116.3335462120267,,8,123,0.3180717054263566,4985
142,-14.607329842931941,-67.5,0.2367,117.04194347666883,,16,69,0.39685571554510723,2033
143,-13.664921465968591,-67.5,0.2367,103.05327430056316,,22,56,0.4034749034749035,1355
144,-12.72251308900524,-67.5,0.2367,71.54689759245804,,15,62,0.39585585585585586,1575
145,-11.780104712041888,-67.5,0.2367,137.02363926802244,,40,59,0.3256663800515907,1504
146,-10.837696335078537,-67.5,0.2367,144.8897268838971,,44,59,0.30634291377601586,1520
147,-9.895287958115185,-67.5,0.2367,114.29017152812258,,36,52,0.3410958904109589,1204
148,-8.952879581151834,-67.5,0.2367,140.10580035356335,,53,45,0.30742204655248134,956
149,-8.010471204188482,-67.5,0.2367,145.39888246263706,,60,50,0.29573804573804574,1134
150,-7.0680628272251305,-67.5,0.2367,152.0084799259467,,61,53,0.30917874396135264,1265
151,-6.12565445026178,-67.5,0.2367,160.47419982655126,,67,55,0.31307821698906646,1324
152,-5.183246073298429,-67.5,0.2367,161.55924145591285,,73,57,0.3194187907893117,1353
153,-4.2408376963350785,-67.5,0.2367,190.0262302295471,,78,64,0.314511981898591,1519
154,-3.298429319371728,-67.5,0.2367,185.25392074907427,,83,54,0.34190729062949443,1186
155,-2.356020942408377,-67.5,0.2367,188.15395482055328,,95,50,0.33655267566768504,1015
156,-1.4136125654450262,-67.5,0.2367,189.32647523167736,,97,45,0.3526326614561909,842
157,-0.4712041884816754,-67.5,0.2367,221.7568196386113,,91,45,0.3494104435710275,751
158,0.4712041884816754,-67.5,0.2367,217.87762038636313,,89,37,0.3473753280839895,516
159,1.4136125654450262,-67.5,0.2367,223.83833557109855,,72,25,0.38941229250785103,270
160,2.356020942408377,-67.5,0.2367,280.8049620402088,,64,18,0.4038034865293185,153
161,-18.376963350785346,-66.25,0.2367,0.0,,0,41,0.48292682926829267,833
162,-17.434554973821996,-66.25,0.2367,0.0,,0,53,0.4604499274310595,1322
163,-16.492146596858646,-66.25,0.2367,56.436976895289604,,3,122,0.3086765293882447,4783
164,-15.549738219895294,-66.25,0.2367,153.70445328881104,,20,86,0.34668534080298785,2836
165,-14.607329842931941,-66.25,0.2367,133.6945335749891,,25,55,0.36413586413586413,1218
166,-13.664921465968591,-66.25,0.2367,19.017951107602237,,0,36,0.44365079365079363,595
167,-12.72251308900524,-66.25,0.2367,0.0,,0,40,0.4378205128205128,723
168,-11.780104712041888,-66.25,0.2367,94.65675722108023,,23,38,0.3840749414519906,704
169,-10.837696335078537,-66.25,0.2367,126.11104437320226,,37,37,0.31955329153605017,675
170,-9.895287958115185,-66.25,0.2367,130.91127974088116,,43,39,0.30602218700475436,763
171,-8.952879581151834,-66.25,0.2367,135.7930259103969,,50,44,0.28737144223869887,940
172,-8.010471204188482,-66.25,0.2367,145.4697270206368,,53,46,0.29731182795698924,1001
173,-7.0680628272251305,-66.25,0.2367,165.0816346702721,,58,54,0.2862748372015361,1283
174,-6.12565445026178,-66.25,0.2367,186.1953300123716,,63,60,0.2923617813318627,1453
175,-5.183246073298429,-66.25,0.2367,172.98983401593878,,63,64,0.2941366395453958,1521
176,-4.2408376963350785,-66.25,0.2367,172.86029121941095,,70,61,0.31106800824342346,1379
177,-3.298429319371728,-66.25,0.2367,185.47824531861727,,82,54,0.32850404312668463,1146
178,-2.356020942408377,-66.25,0.2367,188.20842960940146,,95,46,0.3431924882629108,875
179,-1.4136125654450262,-66.25,0.2367,192.9478117552792,,105,42,0.3419589802568526,719
180,-0.4712041884816754,-66.25,0.2367,200.37331576679847,,97,37,0.36030092592592594,554
181,0.4712041884816754,-66.25,0.2367,220.84180203887166,,67,32,0.387741935483871,399
182,1.4136125654450262,-66.25,0.2367,173.05254040930785,,36,28,0.38494167550371156,263
183,2.356020942408377,-66.25,0.2367,266.7523462104195,,63,20,0.37890021624961384,153
184,-18.376963350785346,-65.0,0.2367,0.0,,0,39,0.4784075573549258,748
185,-17.434554973821996,-65.0,0.2367,36.98181595488059,,3,71,0.38204225352112675,2007
186,-16.492146596858646,-65.0,0.2367,126.088665772364,,14,80,0.33297491039426524,2321
187,-15.549738219895294,-65.0,0.2367,131.48237995305718,,17,71,0.3379857690202518,1812
188,-14.607329842931941,-65.0,0.2367,63.05693018618744,,8,51,0.3975563909774436,1053
189,-13.664921465968591,-65.0,0.2367,17.68311089386461,,0,32,0.47076612903225806,499
190,-12.72251308900524,-65.0,0.2367,3.1385770955503,,0,31,0.45806451612903226,457
191,-11.780104712041888,-65.0,0.2367,105.08577890556849,,25,31,0.3560924369747899,468
192,-10.837696335078537,-65.0,0.2367,128.91528199224666,,36,38,0.3007445141065831,683
193,-9.895287958115185,-65.0,0.2367,128.49008411514157,,37,44,0.3017549561260969,930
194,-8.952879581151834,-65.0,0.2367,136.29601642933468,,46,44,0.29853479853479853,957
195,-8.010471204188482,-65.0,0.2367,150.69622320518027,,54,45,0.28698924731182796,969
196,-7.0680628272251305,-65.0,0.2367,176.768423805833,,58,55,0.27779599868809446,1282
197,-6.12565445026178,-65.0,0.2367,185.1976074853418,,57,60,0.2817224003664682,1406
198,-5.183246073298429,-65.0,0.2367,187.16901508650415,,69,61,0.28346262775520253,1405
199,-4.2408376963350785,-65.0,0.2367,179.09492394938508,,81,59,0.2839826381537159,1266
200,-3.298429319371728,-65.0,0.2367,174.79141797337059,,84,47,0.32096969696969696,885
201,-2.356020942408377,-65.0,0.2367,193.30120244598177,,97,41,0.3369849574885546,704
202,-1.4136125654450262,-65.0,0.2367,193.6553540860466,,109,37,0.34319727891156465,576
203,-0.4712041884816754,-65.0,0.2367,198.07711265862952,,105,31,0.3557551937113981,406
204,0.4712041884816754,-65.0,0.2367,217.6985579853908,,103,25,0.3516071655444035,249
205,1.4136125654450262,-65.0,0.2367,232.418548663664,,87,19,0.35410050439006163,126
206,-20.261780104712045,-63.75,0.2367,21.2713540800223,,0,61,0.3756830601092896,1436
207,-19.319371727748695,-63.75,0.2367,51.32163828611032,,3,61,0.3701058201058201,1427
208,-18.376963350785346,-63.75,0.2367,80.17898769912036,,7,36,0.4767726161369193,655
209,-17.434554973821996,-63.75,0.2367,40.36413260622562,,5,72,0.363914924297044,1950
210,-16.492146596858646,-63.75,0.2367,99.32703744627888,,13,69,0.32678910702976566,1705
211,-15.549738219895294,-63.75,0.2367,92.30125447666029,,13,56,0.3343141693073789,1167
212,-14.607329842931941,-63.75,0.2367,119.23694606920608,,17,50,0.3236144578313253,974
213,-13.664921465968591,-63.75,0.2367,67.62380467185963,,9,35,0.4220023282887078,570
214,-12.72251308900524,-63.75,0.2367,79.44557751256464,,14,32,0.4236479321314952,502
215,-11.780104712041888,-63.75,0.2367,114.44738990583672,,25,36,0.34894613583138173,629
216,-10.837696335078537,-63.75,0.2367,124.3695777707525,,21,38,0.39328311362209667,716
217,-9.895287958115185,-63.75,0.2367,135.86162687607884,,25,37,0.3932616081540204,725
218,-8.952879581151834,-63.75,0.2367,110.52278410754593,,28,38,0.3866235703630035,756
219,-8.010471204188482,-63.75,0.2367,151.61742673615777,,44,48,0.31390695347673836,1090
220,-7.0680628272251305,-63.75,0.2367,175.32240406267837,,52,56,0.2886829794890248,1340
221,-6.12565445026178,-63.75,0.2367,185.43600739115396,,62,60,0.2689611664096453,1397
222,-5.183246073298429,-63.75,0.2367,177.33876179161473,,59,55,0.28977455716586153,1132
223,-4.2408376963350785,-63.75,0.2367,161.11746609618027,,71,47,0.30537214885954383,871
224,-3.298429319371728,-63.75,0.2367,169.47221828437844,,85,41,0.31712598425196853,693
225,-2.356020942408377,-63.75,0.2367,196.69210012652854,,95,35,0.33987934006402365,529
226,-1.4136125654450262,-63.75,0.2367,199.6529058988013,,105,32,0.34373271379577386,440
227,-0.4712041884816754,-63.75,0.2367,178.96729336845723,,90,27,0.3778998778998779,295
228,0.4712041884816754,-63.75,0.2367,157.64134118079076,,70,19,0.4026477667825622,140
229,1.4136125654450262,-63.75,0.2367,171.88445770761155,,83,13,0.38498512245365074,63
