node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,1.1514,0.0,,0,6,0.4,18
1,-5.183246073298429,-78.75,1.1514,29.19215855065864,,0,10,0.3333333333333333,40
2,-4.2408376963350785,-78.75,1.1514,134.94954793000886,,6,12,0.24369747899159663,51
3,-3.298429319371728,-78.75,1.1514,76.25558921632081,,2,12,0.2196969696969697,42
4,-2.356020942408377,-78.75,1.1514,37.76137143523893,,1,9,0.30357142857142855,32
5,-1.4136125654450262,-78.75,1.1514,7.579856071314927,,0,8,0.26785714285714285,20
6,-8.952879581151834,-77.5,1.1514,4.354773231938149,,0,19,0.2222222222222222,95
7,-8.010471204188482,-77.5,1.1514,74.08154245920825,,4,9,0.4,35
8,-7.0680628272251305,-77.5,1.1514,86.48287453066642,,5,9,0.38636363636363635,35
9,-6.12565445026178,-77.5,1.1514,119.26382197849509,,6,9,0.358974358974359,37
10,-5.183246073298429,-77.5,1.1514,182.45007786207736,,10,9,0.2977941176470588,34
11,-4.2408376963350785,-77.5,1.1514,189.68161627318355,,11,6,0.2932692307692308,20
12,-3.298429319371728,-77.5,1.1514,181.4574430322383,,10,5,0.2692307692307692,15
13,-2.356020942408377,-77.5,1.1514,145.20606491088017,,5,7,0.32222222222222224,21
14,-1.4136125654450262,-77.5,1.1514,189.0951604628384,,5,8,0.2909090909090909,22
15,-0.4712041884816754,-77.5,1.1514,177.71805134935383,,4,7,0.2777777777777778,16
16,0.4712041884816754,-77.5,1.1514,112.24725149674461,,2,4,0.25,7
17,-10.837696335078537,-76.25,1.1514,0.0,,0,21,0.2619047619047619,130
18,-9.895287958115185,-76.25,1.1514,28.787828199545146,,1,22,0.22529644268774704,118
19,-8.952879581151834,-76.25,1.1514,208.34366162239357,,6,24,0.2208994708994709,127
20,-8.010471204188482,-76.25,1.1514,135.5918117369817,,8,7,0.3717948717948718,19
21,-7.0680628272251305,-76.25,1.1514,151.30126784108938,,12,3,0.32051282051282054,6
22,-6.12565445026178,-76.25,1.1514,167.7806754393987,,17,4,0.28362573099415206,8
