node_id,threshold,in_degree,out_degree,clustering,ffl
0,1.0,2.8333333333333335,1.9166666666666667,0.28143939393939393,4.833333333333333
0,1.14,2.5,1.6666666666666667,0.26307319223985887,4.083333333333333
0,1.5,1.75,1.1666666666666667,0.225,2.25
1,1.0,3.6666666666666665,4.0,0.21198246198246196,14.833333333333334
1,1.14,3.25,3.3333333333333335,0.20440516273849607,10.916666666666666
1,1.5,1.75,2.25,0.15535714285714283,5.333333333333333
2,1.0,3.0833333333333335,3.9166666666666665,0.2133738175404842,12.833333333333334
2,1.14,2.6666666666666665,3.3333333333333335,0.18845598845598843,9.0
2,1.5,1.9166666666666667,2.25,0.17837301587301588,4.666666666666667
3,1.0,2.5833333333333335,2.8333333333333335,0.21137566137566136,7.333333333333333
3,1.14,1.9166666666666667,2.5,0.18968253968253967,5.916666666666667
3,1.5,1.3333333333333333,2.0833333333333335,0.11527777777777776,4.083333333333333
4,1.0,1.9166666666666667,8.666666666666666,0.20183944142277474,39.75
4,1.14,1.6666666666666667,6.833333333333333,0.18075963388463387,27.0
4,1.5,1.3333333333333333,4.666666666666667,0.15353835978835978,13.833333333333334
5,1.0,2.0833333333333335,8.5,0.239445648897872,39.25
5,1.14,1.8333333333333333,7.25,0.24918831168831168,28.416666666666668
5,1.5,1.5,4.75,0.1909722222222222,13.416666666666666
6,1.0,2.75,12.833333333333334,0.20102289810992502,88.41666666666667
6,1.14,2.4166666666666665,10.833333333333334,0.16781514234271003,63.416666666666664
6,1.5,2.0833333333333335,7.666666666666667,0.16191219523352085,34.0
7,1.0,3.1666666666666665,8.333333333333334,0.22986781073032905,41.25
7,1.14,3.0,6.75,0.20381419913680085,28.25
7,1.5,2.5833333333333335,4.666666666666667,0.20858568174744643,14.833333333333334
8,1.0,4.333333333333333,5.0,0.24797035323351113,17.666666666666668
8,1.14,3.8333333333333335,4.0,0.23267707238295474,11.833333333333334
8,1.5,3.5,2.6666666666666665,0.22386872386872383,5.75
9,1.0,5.166666666666667,2.75,0.24536019536019535,9.0
9,1.14,4.75,2.0,0.23370387328720663,5.5
9,1.5,3.6666666666666665,1.0833333333333333,0.2699645262145262,1.8333333333333333
10,1.0,6.333333333333333,5.166666666666667,0.18904175949132088,22.166666666666668
10,1.14,5.583333333333333,4.5,0.17524381482714815,16.583333333333332
10,1.5,4.416666666666667,2.6666666666666665,0.15634273134273133,6.916666666666667
11,1.0,6.666666666666667,5.5,0.17615951164589264,21.166666666666668
11,1.14,5.666666666666667,4.083333333333333,0.18811678818257763,12.916666666666666
11,1.5,3.9166666666666665,3.0833333333333335,0.1349016814703089,7.333333333333333
12,1.0,6.25,2.3333333333333335,0.24648525967259982,5.166666666666667
12,1.14,4.75,1.5833333333333333,0.24002113870534922,2.9166666666666665
12,1.5,3.6666666666666665,0.8333333333333334,0.2053030303030303,1.0
13,1.0,5.0,3.75,0.27950660742766004,13.0
13,1.14,4.166666666666667,3.0,0.22825774299284232,9.083333333333334
13,1.5,2.5,1.9166666666666667,0.253219696969697,3.9166666666666665
14,1.0,3.9166666666666665,3.6666666666666665,0.31882812035550795,13.333333333333334
14,1.14,3.4166666666666665,3.0,0.31244952659426345,9.583333333333334
14,1.5,2.75,2.0,0.2663690476190476,4.0
15,1.0,3.4166666666666665,8.25,0.23211022962130032,35.416666666666664
15,1.14,3.0,7.333333333333333,0.21243275606020703,27.333333333333332
15,1.5,2.0,5.333333333333333,0.18539462081128746,15.083333333333334
16,1.0,2.75,7.75,0.24948255762580362,29.75
16,1.14,2.5,6.25,0.22158188664775672,19.25
16,1.5,1.75,4.5,0.18505291005291005,9.75
17,1.0,2.0833333333333335,14.333333333333334,0.17680366731742927,121.16666666666667
17,1.14,1.9166666666666667,12.333333333333334,0.17134792852265737,94.16666666666667
17,1.5,1.5833333333333333,10.0,0.15039471855743794,56.583333333333336
18,1.0,2.9166666666666665,14.166666666666666,0.1673956666034628,106.58333333333333
18,1.14,2.5833333333333335,12.583333333333334,0.15015396748934215,80.5
18,1.5,2.0833333333333335,9.083333333333334,0.1419857002255093,43.0
19,1.0,4.5,9.0,0.20868000159571476,50.916666666666664
19,1.14,4.083333333333333,7.666666666666667,0.19906253635011803,38.25
19,1.5,3.6666666666666665,5.0,0.20752646046763693,20.333333333333332
20,1.0,6.166666666666667,6.5,0.21870699962805226,24.75
20,1.14,5.75,5.5,0.20594772594966093,18.416666666666668
20,1.5,4.916666666666667,3.3333333333333335,0.1971513622829412,7.583333333333333
21,1.0,7.25,2.3333333333333335,0.24627846962405786,4.833333333333333
21,1.14,6.416666666666667,1.9166666666666667,0.2268784456284456,3.6666666666666665
21,1.5,5.333333333333333,1.0,0.22213735338735338,1.3333333333333333
22,1.0,8.333333333333334,1.0,0.21693726809825878,1.5
22,1.14,7.333333333333333,0.9166666666666666,0.2218768908107143,1.25
22,1.5,5.416666666666667,0.4166666666666667,0.19799714174714175,0.5833333333333334
23,1.0,9.416666666666666,5.5,0.19396005819280682,22.75
