node_id,threshold,in_degree,out_degree,clustering,ffl
0,1.0,0,0,0.0,0
1,1.0,0,2,0.5,3
2,1.0,1,3,0.5,6
3,1.0,1,4,0.16666666666666666,8
4,1.0,2,9,0.2777777777777778,36
5,1.0,2,14,0.2802197802197802,72
6,1.0,1,20,0.1286549707602339,81
7,1.0,2,12,0.2196969696969697,40
8,1.0,3,6,0.3333333333333333,13
9,1.0,5,2,0.3,3
10,1.0,6,4,0.25,9
11,1.0,5,4,0.14285714285714285,8
12,1.0,4,1,0.16666666666666666,1
13,1.0,4,4,0.3333333333333333,9
14,1.0,5,4,0.425,12
15,1.0,5,16,0.2708333333333333,89
16,1.0,3,14,0.27884615384615385,65
17,1.0,1,11,0.3,46
18,1.0,2,12,0.19696969696969696,39
19,1.0,4,7,0.3472222222222222,17
20,1.0,6,7,0.3090909090909091,15
21,1.0,8,2,0.3392857142857143,2
22,1.0,8,0,0.3392857142857143,0
23,1.0,7,3,0.23214285714285715,5
24,1.0,5,4,0.19047619047619047,9
25,1.0,3,7,0.19642857142857142,22
26,1.0,5,8,0.2545454545454545,27
27,1.0,7,9,0.3111111111111111,40
28,1.0,9,4,0.35454545454545455,9
29,1.0,6,6,0.32222222222222224,13
30,1.0,3,0,0.6666666666666666,0
31,1.0,0,0,0.0,0
32,1.0,1,6,0.4,19
33,1.0,3,13,0.25824175824175827,58
34,1.0,5,9,0.26515151515151514,28
35,1.0,8,7,0.27564102564102566,16
36,1.0,9,0,0.2222222222222222,0
37,1.0,12,2,0.24242424242424243,3
38,1.0,12,4,0.22527472527472528,9
39,1.0,8,4,0.2,9
40,1.0,5,5,0.16071428571428573,12
41,1.0,3,6,0.21428571428571427,18
42,1.0,4,8,0.2222222222222222,28
43,1.0,5,11,0.21428571428571427,46
44,1.0,8,16,0.19913419913419914,82
45,1.0,9,11,0.2549019607843137,46
46,1.0,9,6,0.34615384615384615,15
47,1.0,5,0,0.5,0
48,1.0,1,0,0.0,0
49,1.0,0,0,0.0,0
50,1.0,6,5,0.5416666666666666,15
51,1.0,7,14,0.2719298245614035,68
52,1.0,11,18,0.1794871794871795,67
53,1.0,15,3,0.32916666666666666,6
54,1.0,14,4,0.3333333333333333,8
55,1.0,12,5,0.28095238095238095,11
56,1.0,11,4,0.24358974358974358,7
57,1.0,8,4,0.2111111111111111,8
58,1.0,6,4,0.21428571428571427,9
59,1.0,4,4,0.23333333333333334,9
60,1.0,4,6,0.23214285714285715,18
61,1.0,5,6,0.2361111111111111,18
62,1.0,6,9,0.24358974358974358,36
63,1.0,7,10,0.23333333333333334,41
64,1.0,9,13,0.23157894736842105,63
65,1.0,9,8,0.3047619047619048,28
66,1.0,9,2,0.4305555555555556,3
67,1.0,4,11,0.4868421052631579,63
68,1.0,5,13,0.37916666666666665,66
69,1.0,7,12,0.34558823529411764,50
70,1.0,13,6,0.375,15
71,1.0,13,2,0.4166666666666667,3
72,1.0,14,5,0.30514705882352944,11
73,1.0,8,5,0.2727272727272727,8
74,1.0,7,0,0.40476190476190477,0
75,1.0,5,1,0.3333333333333333,1
76,1.0,3,4,0.2,9
77,1.0,5,6,0.16666666666666666,18
78,1.0,5,6,0.2222222222222222,18
79,1.0,6,8,0.2196969696969697,30
80,1.0,6,10,0.23076923076923078,41
81,1.0,7,12,0.25,59
82,1.0,8,12,0.25163398692810457,59
83,1.0,10,8,0.2791666666666667,29
84,1.0,10,4,0.3409090909090909,10
85,1.0,4,17,0.3816568047337278,116
86,1.0,5,26,0.23325062034739455,169
87,1.0,9,7,0.3791208791208791,18
88,1.0,11,3,0.38636363636363635,5
89,1.0,8,2,0.4107142857142857,3
90,1.0,7,5,0.26666666666666666,9
91,1.0,7,2,0.40476190476190477,2
92,1.0,3,0,0.3333333333333333,0
93,1.0,1,1,0.0,1
94,1.0,2,4,0.25,9
95,1.0,4,6,0.23214285714285715,18
96,1.0,5,6,0.2361111111111111,18
97,1.0,6,7,0.2545454545454545,25
98,1.0,7,10,0.20952380952380953,40
99,1.0,8,11,0.2426470588235294,49
100,1.0,9,11,0.24509803921568626,49
101,1.0,10,10,0.2581699346405229,45
102,1.0,9,6,0.2948717948717949,20
103,1.0,5,23,0.19135802469135801,99
104,1.0,8,0,0.375,0
105,1.0,6,0,0.3333333333333333,0
106,1.0,3,0,0.5,0
107,1.0,5,2,0.4,2
108,1.0,3,0,0.5,0
109,1.0,0,0,0.0,0
110,1.0,1,1,0.0,1
111,1.0,2,4,0.25,9
112,1.0,5,5,0.21428571428571427,13
113,1.0,6,4,0.26785714285714285,9
114,1.0,6,6,0.25555555555555554,18
115,1.0,6,8,0.26515151515151514,30
116,1.0,8,10,0.24583333333333332,42
117,1.0,10,10,0.24183006535947713,43
118,1.0,10,11,0.23391812865497075,50
119,1.0,10,8,0.25,31
120,1.0,2,33,0.14678030303030304,207
121,1.0,3,16,0.19117647058823528,59
122,1.0,7,6,0.24545454545454545,9
123,1.0,5,0,0.35,0
124,1.0,3,0,0.16666666666666666,0
125,1.0,1,0,0.0,0
126,1.0,1,1,0.0,1
127,1.0,0,0,0.0,0
128,1.0,1,2,0.0,3
129,1.0,1,4,0.16666666666666666,8
130,1.0,3,4,0.2,9
131,1.0,5,5,0.21428571428571427,14
132,1.0,6,6,0.2111111111111111,18
133,1.0,7,7,0.2196969696969697,25
134,1.0,8,8,0.24175824175824176,30
135,1.0,8,9,0.2619047619047619,38
136,1.0,9,9,0.26666666666666666,38
137,1.0,12,10,0.2236842105263158,42
138,1.0,10,9,0.24632352941176472,36
139,1.0,8,5,0.23636363636363636,16
140,1.0,1,7,0.36666666666666664,22
141,1.0,4,3,0.35,4
142,1.0,5,0,0.3,0
143,1.0,1,0,0.0,0
144,1.0,0,0,0.0,0
145,1.0,1,2,0.0,2
146,1.0,1,0,0.0,0
147,1.0,0,0,0.0,0
148,1.0,0,0,0.0,0
149,1.0,2,3,0.0,5
150,1.0,3,2,0.0,3
151,1.0,3,4,0.2,9
152,1.0,4,5,0.21428571428571427,13
153,1.0,5,5,0.25,14
154,1.0,5,6,0.25,18
155,1.0,8,7,0.25,25
156,1.0,8,11,0.23161764705882354,51
157,1.0,9,14,0.20952380952380953,70
158,1.0,9,11,0.2581699346405229,53
159,1.0,9,10,0.23161764705882354,41
160,1.0,7,6,0.32407407407407407,19
161,1.0,0,2,0.5,2
162,1.0,1,1,0.5,1
163,1.0,4,10,0.03787878787878788,16
164,1.0,1,0,0.0,0
165,1.0,1,0,0.0,0
166,1.0,0,0,0.0,0
167,1.0,0,0,0.0,0
168,1.0,1,2,0.0,3
169,1.0,2,2,0.0,3
170,1.0,2,1,0.0,1
171,1.0,1,1,0.0,1
172,1.0,2,2,0.0,3
173,1.0,2,2,0.0,3
174,1.0,2,4,0.25,9
175,1.0,4,5,0.16666666666666666,10
176,1.0,6,5,0.19444444444444445,12
177,1.0,6,6,0.24444444444444444,18
178,1.0,7,7,0.22727272727272727,22
179,1.0,8,7,0.27564102564102566,24
180,1.0,9,10,0.2536764705882353,42
181,1.0,9,12,0.2222222222222222,46
182,1.0,9,10,0.23529411764705882,33
183,1.0,7,10,0.22115384615384615,29
184,1.0,0,2,0.0,1
185,1.0,1,0,0.0,0
186,1.0,0,0,0.0,0
187,1.0,0,0,0.0,0
188,1.0,0,0,0.0,0
189,1.0,0,0,0.0,0
