node_id,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,1.0,16.125286935317835,11.133075720346696,0,0,0.0,0
1,1.0,25.682396251133195,25.199200761343082,0,0,0.0,0
2,1.0,50.378126266394126,46.308359871355854,0,1,0.0,1
3,1.0,39.87460423982805,38.355732990101295,0,1,0.0,1
4,1.0,52.687291734976434,84.97423458698904,1,4,0.16666666666666666,8
5,1.0,65.54595379886469,74.39958879112964,1,3,0.5,6
6,1.0,25.67359302801778,18.007545252977167,0,0,0.0,0
7,1.0,25.82395711568304,18.751695824996673,0,0,0.0,0
8,1.0,42.66042064472025,24.75138207758519,0,0,0.0,0
9,1.0,39.92524670755351,45.8799626376247,0,0,0.0,0
10,1.0,46.99270377162709,80.66437773182474,1,1,0.0,1
11,1.0,55.30287569127609,96.32784245870785,2,1,0.0,1
12,1.0,58.51250765705949,59.181883457107375,2,1,0.0,1
13,1.0,82.02133715898414,77.37570373050592,2,2,0.5,3
14,1.0,106.57679777897671,62.460322121899026,3,2,0.16666666666666666,3
15,1.0,125.92538152701472,73.63634567152512,2,11,0.20909090909090908,38
16,1.0,106.58561409018728,68.84105782416457,1,17,0.17083333333333334,73
17,1.0,31.5098928018828,48.21659703689626,0,0,0.0,0
18,1.0,35.63697467045126,25.960796694889297,0,1,0.0,1
19,1.0,56.82137019702371,43.25688290530932,2,2,0.0,3
20,1.0,45.40617866604934,79.69588880899862,2,1,0.0,1
21,1.0,42.60973159660138,70.05289771194019,0,0,0.0,0
22,1.0,46.29290237030997,53.72434686376385,0,0,0.0,0
23,1.0,49.81509511523127,97.48279793474633,1,1,0.0,1
24,1.0,51.74922385648785,99.63703964040644,1,1,0.0,1
25,1.0,56.34448784875533,101.98219655829065,1,2,0.0,3
26,1.0,63.79690943109965,104.55853106750978,3,2,0.16666666666666666,3
27,1.0,67.70849994266767,106.8402450722102,5,2,0.16666666666666666,4
28,1.0,82.89558464686912,88.78655036036851,3,2,0.5,3
29,1.0,131.76117826796178,85.55575262132231,3,5,0.3333333333333333,13
30,1.0,92.44360537671339,14.92828218923488,1,0,0.0,0
31,1.0,0.7143667969745648,2.1244090292997835,0,0,0.0,0
32,1.0,25.18545214409729,24.666726994019292,0,0,0.0,0
33,1.0,46.7097299696714,47.66435674783333,0,2,0.5,3
34,1.0,73.73253541068219,49.99903312571775,2,5,0.05,7
35,1.0,44.6065317904705,76.44644922682953,3,1,0.5,1
36,1.0,24.74425451467587,46.56592770636727,1,0,0.0,0
37,1.0,24.992446257998566,72.19888559334494,0,0,0.0,0
38,1.0,33.494364851393726,91.65218916137194,0,0,0.0,0
39,1.0,45.656386085384504,92.92733800653285,1,1,0.0,1
40,1.0,60.646811476179046,94.92891470572187,1,2,0.0,3
41,1.0,69.72051997325961,97.68959757047774,1,5,0.16666666666666666,11
42,1.0,85.27455963818512,103.23293252667455,3,5,0.1,11
43,1.0,93.1225138950133,103.238927227196,3,5,0.1,11
44,1.0,105.50755481541219,107.00183739798969,4,8,0.19318181818181818,25
45,1.0,108.26101990322472,108.388777010441,5,7,0.26666666666666666,22
46,1.0,95.27522422496912,109.92880153324468,5,5,0.30357142857142855,12
47,1.0,85.93580958214748,49.99050166405594,4,2,0.4166666666666667,3
48,1.0,57.00636178532759,9.392268329802743,0,0,0.0,0
49,1.0,1.1445570487924044,7.07121010416131,0,0,0.0,0
50,1.0,32.28653431950203,28.99833518247018,0,2,0.5,3
51,1.0,78.55675167643639,52.47961765831848,2,3,0.3333333333333333,6
52,1.0,63.88201835021797,80.97015456514345,4,6,0.08928571428571429,9
53,1.0,30.178055710355135,86.22761898407815,5,1,0.16666666666666666,1
54,1.0,23.72713162314101,90.28146669661241,2,0,0.0,0
55,1.0,28.454909257640875,84.87256782471758,2,1,0.0,1
56,1.0,34.35981136852513,77.4010066522288,1,1,0.0,1
57,1.0,46.132026420220825,85.6329587294777,1,2,0.0,2
