node_id,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,1.0,111.68492328684303,78.01332822091354,10,6,0.5384615384615384,23
1,1.0,107.17096560869088,76.81855788454413,12,7,0.5111111111111111,31
2,1.0,126.12882631823524,90.41619393305155,13,9,0.4656084656084656,44
3,1.0,152.08943344789674,95.18483912543161,13,10,0.4258373205741627,52
4,1.0,168.58682200704152,92.86047362111276,11,9,0.41118421052631576,44
5,1.0,188.08543229191855,87.43469205015572,5,8,0.4074074074074074,37
6,1.0,228.07258258876595,116.68812649935717,8,31,0.3459214501510574,305
7,1.0,165.50314837869436,99.81573666329496,10,16,0.45985401459854014,112
8,1.0,158.90245741358768,106.16381344792899,11,15,0.4365942028985507,92
9,1.0,180.38506905142077,112.24542260257294,12,18,0.39021164021164023,122
10,1.0,213.39228577001623,116.8092882874771,15,16,0.3765432098765432,104
11,1.0,186.56806044662815,120.74323802080471,17,13,0.38992042440318303,75
12,1.0,180.3676122912838,116.50299659580924,19,10,0.3985714285714286,50
13,1.0,182.26001150750193,103.69868650508579,14,10,0.39565217391304347,50
14,1.0,195.66855225287384,90.36589419236407,10,12,0.30158730158730157,64
15,1.0,216.52233584279543,80.0258936281898,6,9,0.33974358974358976,39
16,1.0,227.36729135014457,77.56021160952514,5,7,0.4,23
17,1.0,297.4406867582069,87.57598663272802,6,51,0.25472972972972974,636
18,1.0,313.8083265341538,88.20956284878775,7,45,0.25572831423895254,475
19,1.0,343.7381033858446,103.385650710552,8,44,0.22998366013071894,373
20,1.0,177.49927680875288,116.29385413485579,13,15,0.4058641975308642,95
21,1.0,115.11830569682418,104.62806052673841,15,4,0.47794117647058826,10
22,1.0,155.69127985606542,118.18798377877101,22,4,0.39311594202898553,10
23,1.0,197.35880761712906,123.04125525348354,25,7,0.367816091954023,25
24,1.0,204.31339465936276,117.93733195925597,25,7,0.36551724137931035,23
25,1.0,217.10586165831327,119.34836870699655,24,9,0.35913978494623655,35
26,1.0,212.21257201346543,114.53318660147488,25,9,0.3377016129032258,34
27,1.0,205.33011560166946,115.13830140262144,21,9,0.3386243386243386,35
28,1.0,212.51159511998497,113.23576169757871,17,8,0.3102766798418972,29
29,1.0,233.65672122754577,97.94724079139996,7,6,0.37272727272727274,16
30,1.0,191.0244866185435,90.0996106211096,6,3,0.4523809523809524,6
31,1.0,65.16377152327868,32.87442245291459,3,3,0.7,8
32,1.0,239.56962002877208,81.86571092839586,9,50,0.23712311557788945,621
33,1.0,359.837406253032,75.53832541656448,9,53,0.21917420814479638,644
34,1.0,465.4008388685359,97.67698513314826,10,60,0.17962231005709267,625
35,1.0,311.0720435629221,105.6817590224091,15,30,0.29490022172949004,253
36,1.0,235.73463369500638,125.49359497439582,22,13,0.36363636363636365,57
37,1.0,170.7938269381943,115.83739398687612,24,7,0.3916256157635468,22
38,1.0,151.19428897963166,84.21082743443549,19,3,0.42857142857142855,6
39,1.0,161.443293268062,110.5473660863936,25,4,0.3974358974358974,9
40,1.0,185.22103473309855,120.94237131852424,27,7,0.3659274193548387,24
41,1.0,217.4802163534676,118.02919505891623,27,9,0.32887700534759357,34
42,1.0,239.23810562353,115.72828758624382,24,9,0.3387096774193548,36
43,1.0,230.25342430565132,111.99093245551921,21,8,0.3646723646723647,31
44,1.0,204.7117245363611,108.2983765436802,19,8,0.35833333333333334,29
45,1.0,186.38146791584953,110.06090676906751,21,6,0.3566666666666667,17
46,1.0,148.7097261258653,106.27608567767311,16,4,0.3235294117647059,8
47,1.0,145.80342657555207,100.1301656558644,9,2,0.4305555555555556,3
48,1.0,144.9793903673862,93.93897907430073,6,1,0.5,1
49,1.0,78.4693455242375,31.090020377414476,6,4,0.6481481481481481,12
50,1.0,226.3398437354528,82.64143257139949,8,22,0.37101063829787234,187
51,1.0,409.41753108186185,92.64584633870982,10,37,0.2857142857142857,398
52,1.0,373.2334688880343,101.37629335949896,12,32,0.27409988385598144,248
53,1.0,302.7727992014513,117.5021011629724,18,17,0.3712121212121212,88
54,1.0,230.72556349832195,125.4228704268462,24,11,0.3712121212121212,43
55,1.0,178.54237030558352,121.05783990584314,26,6,0.3839080459770115,17
56,1.0,148.57198092384465,118.44510987983085,27,5,0.3816091954022989,12
57,1.0,159.83857958212866,124.79425347119104,28,5,0.3634408602150538,14
58,1.0,186.24768953637863,124.99618535279296,26,7,0.3419354838709677,24
59,1.0,213.20376445532355,122.69736253016163,27,10,0.28907563025210087,44
60,1.0,246.82556599002473,117.85081269219518,21,11,0.2655172413793103,49
61,1.0,259.3253357295089,111.07969655276975,18,10,0.28615384615384615,42
62,1.0,248.59393978020134,112.93930696032476,19,10,0.2948717948717949,41
63,1.0,205.58878412376603,111.06429281760938,18,8,0.3278985507246377,28
64,1.0,168.75473117736323,108.76608512975508,18,5,0.3904761904761905,13
65,1.0,131.5338242120509,106.15235312579898,13,4,0.42857142857142855,8
