node_id,threshold,in_degree,out_degree,clustering,ffl
61,1.0,8,12,0.31456953642384106,67
62,1.0,9,14,0.30528846153846156,90
63,1.0,9,15,0.3034934497816594,100
64,1.0,11,17,0.28637770897832815,131
65,1.0,12,14,0.31386861313868614,103
66,1.0,13,6,0.337037037037037,24
67,1.0,4,11,0.474025974025974,61
68,1.0,5,14,0.4185185185185185,88
69,1.0,9,14,0.3444976076555024,78
70,1.0,12,8,0.38235294117647056,29
71,1.0,15,5,0.3235294117647059,15
72,1.0,17,6,0.2727272727272727,18
73,1.0,11,6,0.2619047619047619,19
74,1.0,8,5,0.32407407407407407,16
75,1.0,7,8,0.27631578947368424,33
76,1.0,8,10,0.2669491525423729,49
77,1.0,8,10,0.3135593220338983,51
78,1.0,9,12,0.29289940828402367,69
79,1.0,9,15,0.29694323144104806,100
80,1.0,9,18,0.30033557046979864,135
81,1.0,10,19,0.30659025787965616,158
82,1.0,10,22,0.29907621247113164,200
83,1.0,11,16,0.3271812080536913,131
84,1.0,11,13,0.3173913043478261,95
85,1.0,3,22,0.33266932270916333,172
86,1.0,6,24,0.29411764705882354,190
87,1.0,10,15,0.29365079365079366,77
88,1.0,14,5,0.38235294117647056,14
89,1.0,16,4,0.3026315789473684,10
90,1.0,9,4,0.2545454545454545,10
91,1.0,7,5,0.26136363636363635,16
92,1.0,8,7,0.27631578947368424,27
93,1.0,8,9,0.2766990291262136,41
94,1.0,8,11,0.2947761194029851,59
95,1.0,10,11,0.28402366863905326,60
96,1.0,11,13,0.2816593886462882,81
97,1.0,11,15,0.28832116788321166,101
98,1.0,12,18,0.2845744680851064,136
99,1.0,12,20,0.2956120092378753,170
100,1.0,12,19,0.31683168316831684,160
101,1.0,13,19,0.3194444444444444,163
102,1.0,9,14,0.40384615384615385,107
103,1.0,5,17,0.29365079365079366,98
104,1.0,11,6,0.37142857142857144,18
105,1.0,15,5,0.30718954248366015,13
106,1.0,9,4,0.2727272727272727,8
107,1.0,4,5,0.2619047619047619,15
108,1.0,6,5,0.2857142857142857,14
109,1.0,8,7,0.24342105263157895,25
110,1.0,8,8,0.30337078651685395,34
111,1.0,8,11,0.30597014925373134,59
112,1.0,10,14,0.2685589519650655,85
113,1.0,9,14,0.31490384615384615,91
114,1.0,11,19,0.2699468085106383,141
115,1.0,13,17,0.29521276595744683,127
116,1.0,13,17,0.31117021276595747,128
117,1.0,14,19,0.30129589632829373,160
118,1.0,14,20,0.34146341463414637,180
119,1.0,12,16,0.37267080745341613,132
120,1.0,3,24,0.2608695652173913,178
121,1.0,5,12,0.3238095238095238,55
122,1.0,8,9,0.3380952380952381,32
123,1.0,13,4,0.319047619047619,10
124,1.0,8,5,0.24545454545454545,11
125,1.0,4,4,0.16666666666666666,8
126,1.0,5,4,0.16666666666666666,9
127,1.0,6,4,0.25,10
128,1.0,8,5,0.2777777777777778,15
129,1.0,8,8,0.29775280898876405,33
130,1.0,10,9,0.30597014925373134,42
131,1.0,11,12,0.2860576923076923,67
132,1.0,11,14,0.29282868525896416,85
133,1.0,12,16,0.2894736842105263,104
134,1.0,13,18,0.2896039603960396,130
135,1.0,14,18,0.2967667436489607,133
136,1.0,13,20,0.31317494600431967,170
137,1.0,14,20,0.33367139959432046,178
138,1.0,13,17,0.36764705882352944,139
139,1.0,8,11,0.417910447761194,65
140,1.0,1,11,0.37777777777777777,55
141,1.0,4,12,0.24725274725274726,46
142,1.0,6,4,0.35714285714285715,7
143,1.0,9,2,0.2777777777777778,3
144,1.0,3,2,0.16666666666666666,3
145,1.0,3,3,0.0,5
146,1.0,3,4,0.1,9
147,1.0,3,4,0.2,9
148,1.0,5,4,0.21428571428571427,10
149,1.0,7,7,0.23846153846153847,27
150,1.0,8,8,0.2808988764044944,34
151,1.0,10,9,0.30597014925373134,42
152,1.0,11,12,0.2860576923076923,65
153,1.0,11,14,0.2837301587301587,82
154,1.0,14,14,0.2824074074074074,83
155,1.0,13,19,0.271889400921659,137
156,1.0,14,19,0.2941810344827586,148
157,1.0,14,22,0.2924865831842576,186
158,1.0,14,20,0.3168016194331984,163
159,1.0,12,21,0.3106060606060606,168
160,1.0,8,16,0.34210526315789475,98
161,1.0,1,3,0.5,6
162,1.0,2,4,0.25,9
163,1.0,4,8,0.17777777777777778,25
164,1.0,5,3,0.23333333333333334,5
165,1.0,5,1,0.4166666666666667,1
166,1.0,0,1,0.0,1
167,1.0,2,2,0.0,3
168,1.0,3,4,0.1,9
169,1.0,3,4,0.2,9
170,1.0,4,4,0.2,9
171,1.0,5,5,0.21428571428571427,14
172,1.0,6,6,0.3068181818181818,22
173,1.0,7,9,0.28651685393258425,41
174,1.0,10,11,0.26627218934911245,58
175,1.0,10,12,0.2830687830687831,64
176,1.0,12,13,0.27865612648221344,75
177,1.0,12,13,0.2984189723320158,78
178,1.0,13,18,0.2733990147783251,127
179,1.0,16,19,0.2708333333333333,137
180,1.0,18,16,0.3,110
181,1.0,17,19,0.29695885509839,135
182,1.0,15,16,0.31683168316831684,100
183,1.0,9,14,0.3389423076923077,73
184,1.0,1,2,0.0,3
185,1.0,3,3,0.08333333333333333,5
186,1.0,3,2,0.0,3
187,1.0,2,2,0.0,3
188,1.0,2,2,0.0,3
189,1.0,2,2,0.0,3
190,1.0,2,4,0.16666666666666666,9
191,1.0,3,4,0.2,9
192,1.0,4,4,0.2,9
193,1.0,4,4,0.2,9
194,1.0,4,6,0.25,20
195,1.0,7,8,0.2532467532467532,32
196,1.0,8,10,0.2627118644067797,46
197,1.0,9,12,0.2692307692307692,67
198,1.0,11,13,0.2565217391304348,73
199,1.0,12,13,0.274703557312253,76
200,1.0,12,13,0.2924901185770751,77
201,1.0,14,18,0.2689655172413793,127
202,1.0,17,17,0.2711693548387097,117
203,1.0,20,16,0.26916221033868093,98
204,1.0,19,14,0.3021505376344086,76
205,1.0,16,11,0.34,48
206,1.0,1,3,0.5,6
207,1.0,2,2,0.5,3
208,1.0,3,1,0.5,1
209,1.0,1,1,0.0,1
210,1.0,1,1,0.0,1
211,1.0,1,2,0.0,3
212,1.0,2,2,0.0,3
213,1.0,2,2,0.0,3
214,1.0,3,4,0.15,9
