year,threshold,in_degree,out_degree,clustering,ffl
2030,1.0,5.21875,5.21875,0.1856635696039457,26.02023237179487
2030,1.14,4.236177884615385,4.236177884615385,0.1701362902149792,18.065705128205128
2030,1.5,2.7259615384615383,2.7259615384615383,0.1291622030705801,8.572315705128206
2031,1.0,5.237580128205129,5.237580128205129,0.18781513481401982,26.06270032051282
2031,1.14,4.2548076923076925,4.2548076923076925,0.1710027984031483,18.18729967948718
2031,1.5,2.7411858974358974,2.7411858974358974,0.1292629630392786,8.625600961538462
2032,1.0,5.095352564102564,5.095352564102564,0.18505798222910003,24.917267628205124
2032,1.14,4.1350160256410255,4.1350160256410255,0.16755774737631773,17.334334935897434
2032,1.5,2.6642628205128203,2.6642628205128203,0.12796005978203828,8.24579326923077
2033,1.0,5.126201923076923,5.126201923076923,0.18661691270111844,24.98778044871795
2033,1.14,4.170472756410256,4.170472756410256,0.17071814150123668,17.540865384615383
2033,1.5,2.6834935897435894,2.6834935897435894,0.12756130028520316,8.314102564102564
2034,1.0,5.193910256410256,5.193910256410256,0.18878451341612296,25.25420673076923
2034,1.14,4.206730769230769,4.206730769230769,0.1706897061637969,17.544471153846153
2034,1.5,2.7227564102564106,2.7227564102564106,0.1308886585102277,8.43389423076923
2035,1.0,5.295673076923077,5.295673076923077,0.19164880319313207,26.18689903846154
2035,1.14,4.280448717948718,4.280448717948718,0.17524002735486746,18.099959935897434
2035,1.5,2.7732371794871797,2.7732371794871797,0.13240559852795336,8.677684294871794
2036,1.0,5.123197115384615,5.123197115384615,0.18794523351351872,24.875200320512818
2036,1.14,4.149439102564103,4.149439102564103,0.17149301069203007,17.25861378205128
2036,1.5,2.692107371794872,2.692107371794872,0.12804146937829367,8.31670673076923
2037,1.0,5.089342948717948,5.089342948717948,0.18761336723247599,24.854567307692307
2037,1.14,4.1272035256410255,4.1272035256410255,0.17105469770857143,17.334735576923077
2037,1.5,2.676482371794872,2.676482371794872,0.12819937161148226,8.343149038461538
2038,1.0,5.061097756410256,5.061097756410256,0.18619476487491676,24.443509615384617
2038,1.14,4.1115785256410255,4.1115785256410255,0.17064661446547166,17.071714743589745
2038,1.5,2.6626602564102564,2.6626602564102564,0.12917589455784179,8.184695512820513
2039,1.0,5.019831730769231,5.019831730769231,0.18454960601030473,24.212139423076923
2039,1.14,4.079326923076923,4.079326923076923,0.1685543166855695,16.96854967948718
2039,1.5,2.6466346153846154,2.6466346153846154,0.13027830210573335,8.18389423076923
2040,1.0,5.042467948717948,5.042467948717948,0.18643006267722242,24.485176282051277
2040,1.14,4.10176282051282,4.10176282051282,0.16833224419575513,17.131009615384617
2040,1.5,2.660456730769231,2.660456730769231,0.12924882695103845,8.296674679487179
2041,1.0,4.959535256410256,4.959535256410256,0.18480923934540128,23.90985576923077
2041,1.14,4.027043269230769,4.027043269230769,0.16621553869088374,16.677684294871796
2041,1.5,2.605769230769231,2.605769230769231,0.12990280119565503,8.04286858974359
2042,1.0,4.854166666666666,4.854166666666666,0.18211610587690855,23.027844551282048
2042,1.14,3.959735576923077,3.959735576923077,0.16659294224672372,16.209134615384617
2042,1.5,2.5540865384615383,2.5540865384615383,0.12714585569102266,7.7886618589743595
2043,1.0,4.752403846153846,4.752403846153846,0.18053425466688183,22.38000801282051
2043,1.14,3.855969551282051,3.855969551282051,0.16380776633311678,15.652443910256409
2043,1.5,2.496794871794872,2.496794871794872,0.12248969275005799,7.582532051282052
2044,1.0,4.6272035256410255,4.6272035256410255,0.17746626659746573,21.670072115384617
2044,1.14,3.7716346153846154,3.7716346153846154,0.16139816816372557,15.307291666666666
2044,1.5,2.4310897435897436,2.4310897435897436,0.12250323459002521,7.340544871794871
2045,1.0,4.595152243589744,4.595152243589744,0.1772026870360065,21.243990384615383
2045,1.14,3.742988782051282,3.742988782051282,0.1614850690202997,14.953525641025642
2045,1.5,2.4154647435897436,2.4154647435897436,0.11996716149588846,7.23056891025641
2046,1.0,4.631810897435897,4.631810897435897,0.17768545253613818,21.547676282051277
2046,1.14,3.7694310897435894,3.7694310897435894,0.16286724885223733,15.172275641025639
2046,1.5,2.425480769230769,2.425480769230769,0.12053901202585346,7.260416666666667
2047,1.0,4.591145833333334,4.591145833333334,0.17601562055056663,21.267027243589745
2047,1.14,3.746594551282051,3.746594551282051,0.16069493597855194,15.04326923076923
2047,1.5,2.40244391025641,2.40244391025641,0.11886215525429135,7.162259615384615
2048,1.0,4.549278846153846,4.549278846153846,0.17392518374885546,21.04747596153846
2048,1.14,3.716746794871795,3.716746794871795,0.158993451773672,14.906650641025639
2048,1.5,2.394230769230769,2.394230769230769,0.11790333923692203,7.159855769230769
2049,1.0,4.507211538461538,4.507211538461538,0.17277195141386217,20.74358974358974
2049,1.14,3.689703525641026,3.689703525641026,0.15960311013524778,14.693309294871794
2049,1.5,2.3784054487179485,2.3784054487179485,0.1184316286735955,7.084334935897436
2050,1.0,4.441105769230769,4.441105769230769,0.17337786808403505,20.166866987179485
2050,1.14,3.628605769230769,3.628605769230769,0.1579855222249814,14.228565705128204
2050,1.5,2.332732371794872,2.332732371794872,0.11601042863081647,6.842948717948717
