year,month,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
2030,1,1.1514,-6.639901329037456,-64.54326923076923,166.80689541446787,,5.8485576923076925,5.8485576923076925,0.24308262798988173,21.89423076923077
2030,1,3.112,-6.639901329037456,-64.54326923076923,166.80689541446787,,0.8509615384615384,0.8509615384615384,0.032318376068376065,1.125
2030,2,1.1514,-6.639901329037456,-64.54326923076923,128.60681564518242,,3.9399038461538463,3.9399038461538463,0.18406112088504603,11.399038461538462
2030,2,3.112,-6.639901329037456,-64.54326923076923,128.60681564518242,,0.43990384615384615,0.43990384615384615,0.019591346153846154,0.5216346153846154
2030,3,1.1514,-6.639901329037456,-64.54326923076923,170.03150361742928,,5.377403846153846,5.377403846153846,0.23989475984884268,18.997596153846153
2030,3,3.112,-6.639901329037456,-64.54326923076923,170.03150361742928,,0.8725961538461539,0.8725961538461539,0.03216002747252747,1.2764423076923077
2030,4,1.1514,-6.639901329037456,-64.54326923076923,170.70611585673444,,5.03125,5.03125,0.22342738603783016,17.204326923076923
2030,4,3.112,-6.639901329037456,-64.54326923076923,170.70611585673444,,0.7548076923076923,0.7548076923076923,0.010256410256410256,0.9759615384615384
2030,5,1.1514,-6.639901329037456,-64.54326923076923,121.851541680866,,2.762019230769231,2.762019230769231,0.14074355040077455,8.01201923076923
2030,5,3.112,-6.639901329037456,-64.54326923076923,121.851541680866,,0.36778846153846156,0.36778846153846156,0.008854166666666665,0.47115384615384615
2030,6,1.1514,-6.639901329037456,-64.54326923076923,52.27669254827813,,0.8004807692307693,0.8004807692307693,0.02864417194168325,1.9375
2030,6,3.112,-6.639901329037456,-64.54326923076923,52.27669254827813,,0.08173076923076923,0.08173076923076923,0.002804487179487179,0.08413461538461539
2030,7,1.1514,-6.639901329037456,-64.54326923076923,31.158212344408238,,0.3629807692307692,0.3629807692307692,0.01639870546120546,0.6418269230769231
2030,7,3.112,-6.639901329037456,-64.54326923076923,31.158212344408238,,0.019230769230769232,0.019230769230769232,0.0,0.021634615384615384
2030,8,1.1514,-6.639901329037456,-64.54326923076923,22.346083004457245,,0.2403846153846154,0.2403846153846154,0.007171474358974358,0.3485576923076923
2030,8,3.112,-6.639901329037456,-64.54326923076923,22.346083004457245,,0.007211538461538462,0.007211538461538462,0.0,0.009615384615384616
2030,9,1.1514,-6.639901329037456,-64.54326923076923,40.00435010786382,,0.9206730769230769,0.9206730769230769,0.053649518883893875,1.6634615384615385
2030,9,3.112,-6.639901329037456,-64.54326923076923,40.00435010786382,,0.04326923076923077,0.04326923076923077,0.0,0.04567307692307692
2030,10,1.1514,-6.639901329037456,-64.54326923076923,119.01314651579158,,5.170673076923077,5.170673076923077,0.1942446532997435,20.153846153846153
2030,10,3.112,-6.639901329037456,-64.54326923076923,119.01314651579158,,0.7235576923076923,0.7235576923076923,0.0243246336996337,0.9278846153846154
2030,11,1.1514,-6.639901329037456,-64.54326923076923,154.84411605663544,,6.3125,6.3125,0.24727753723970028,26.564903846153847
2030,11,3.112,-6.639901329037456,-64.54326923076923,154.84411605663544,,0.9254807692307693,0.9254807692307693,0.030980044261294255,1.2740384615384615
2030,12,1.1514,-6.639901329037456,-64.54326923076923,201.80153212286402,,7.451923076923077,7.451923076923077,0.26994667090373087,34.01923076923077
2030,12,3.112,-6.639901329037456,-64.54326923076923,201.80153212286402,,1.3701923076923077,1.3701923076923077,0.04038314116439116,2.1177884615384617
2031,1,1.1514,-6.639901329037456,-64.54326923076923,166.47309556182412,,5.747596153846154,5.747596153846154,0.238002732339153,20.872596153846153
2031,1,3.112,-6.639901329037456,-64.54326923076923,166.47309556182412,,0.8365384615384616,0.8365384615384616,0.028001945970695965,1.0769230769230769
2031,2,1.1514,-6.639901329037456,-64.54326923076923,126.43561740363464,,3.9591346153846154,3.9591346153846154,0.18560085557342518,11.805288461538462
2031,2,3.112,-6.639901329037456,-64.54326923076923,126.43561740363464,,0.43990384615384615,0.43990384615384615,0.021422847985347986,0.5456730769230769
2031,3,1.1514,-6.639901329037456,-64.54326923076923,171.67378959161283,,5.548076923076923,5.548076923076923,0.24678394445828428,19.84375
2031,3,3.112,-6.639901329037456,-64.54326923076923,171.67378959161283,,0.9182692307692307,0.9182692307692307,0.03536515567765568,1.3557692307692308
2031,4,1.1514,-6.639901329037456,-64.54326923076923,169.59406605873968,,5.079326923076923,5.079326923076923,0.22510981310200867,17.44951923076923
2031,4,3.112,-6.639901329037456,-64.54326923076923,169.59406605873968,,0.7932692307692307,0.7932692307692307,0.013221153846153846,1.0528846153846154
2031,5,1.1514,-6.639901329037456,-64.54326923076923,122.81969831078406,,2.7163461538461537,2.7163461538461537,0.1383414349297258,7.9326923076923075
2031,5,3.112,-6.639901329037456,-64.54326923076923,122.81969831078406,,0.36538461538461536,0.36538461538461536,0.009174679487179486,0.47836538461538464
2031,6,1.1514,-6.639901329037456,-64.54326923076923,53.89057833752453,,0.8605769230769231,0.8605769230769231,0.034352717833438684,2.1947115384615383
2031,6,3.112,-6.639901329037456,-64.54326923076923,53.89057833752453,,0.08653846153846154,0.08653846153846154,0.002804487179487179,0.09375
2031,7,1.1514,-6.639901329037456,-64.54326923076923,29.87269473332463,,0.34134615384615385,0.34134615384615385,0.014609348984348984,0.5817307692307693
2031,7,3.112,-6.639901329037456,-64.54326923076923,29.87269473332463,,0.019230769230769232,0.019230769230769232,0.0,0.021634615384615384
2031,8,1.1514,-6.639901329037456,-64.54326923076923,22.3177164068595,,0.24759615384615385,0.24759615384615385,0.009374999999999998,0.36778846153846156
2031,8,3.112,-6.639901329037456,-64.54326923076923,22.3177164068595,,0.007211538461538462,0.007211538461538462,0.0,0.009615384615384616
2031,9,1.1514,-6.639901329037456,-64.54326923076923,39.237037249020666,,0.9038461538461539,0.9038461538461539,0.05004474691974692,1.6490384615384615
2031,9,3.112,-6.639901329037456,-64.54326923076923,39.237037249020666,,0.052884615384615384,0.052884615384615384,0.0,0.055288461538461536
2031,10,1.1514,-6.639901329037456,-64.54326923076923,116.66236563226293,,5.103365384615385,5.103365384615385,0.19011490555247818,19.51201923076923
2031,10,3.112,-6.639901329037456,-64.54326923076923,116.66236563226293,,0.6995192307692307,0.6995192307692307,0.023148466117216118,0.8918269230769231
2031,11,1.1514,-6.639901329037456,-64.54326923076923,153.90071381410917,,6.240384615384615,6.240384615384615,0.2426939549610193,25.754807692307693
2031,11,3.112,-6.639901329037456,-64.54326923076923,153.90071381410917,,0.9278846153846154,0.9278846153846154,0.025854700854700853,1.2692307692307692
2031,12,1.1514,-6.639901329037456,-64.54326923076923,201.5225712318409,,7.350961538461538,7.350961538461538,0.2636187354143594,33.32451923076923
2031,12,3.112,-6.639901329037456,-64.54326923076923,201.5225712318409,,1.3725961538461537,1.3725961538461537,0.04076236263736263,2.1346153846153846
2032,1,1.1514,-6.639901329037456,-64.54326923076923,166.05968171955402,,5.923076923076923,5.923076923076923,0.2424337868282586,22.252403846153847
2032,1,3.112,-6.639901329037456,-64.54326923076923,166.05968171955402,,0.9182692307692307,0.9182692307692307,0.03251106532356532,1.2644230769230769
2032,2,1.1514,-6.639901329037456,-64.54326923076923,128.85285853316844,,4.048076923076923,4.048076923076923,0.19099040841327028,12.197115384615385
2032,2,3.112,-6.639901329037456,-64.54326923076923,128.85285853316844,,0.4639423076923077,0.4639423076923077,0.02287087912087912,0.5697115384615384
2032,3,1.1514,-6.639901329037456,-64.54326923076923,174.21828276550224,,5.694711538461538,5.694711538461538,0.25110273208391354,20.697115384615383
2032,3,3.112,-6.639901329037456,-64.54326923076923,174.21828276550224,,0.9855769230769231,0.9855769230769231,0.03834134615384615,1.4807692307692308
