year,month,threshold,prec,evap,in_degree,out_degree,clustering,ffl
2030,1,1.0,139.6944845589787,,5.853365384615385,5.853365384615385,0.24611350219955863,24.045673076923077
2030,1,1.14,139.6944845589787,,4.704326923076923,4.704326923076923,0.21577947732381225,16.504807692307693
2030,1,1.5,139.6944845589787,,2.9110576923076925,2.9110576923076925,0.11978778945281385,7.4375
2030,2,1.0,139.78414721500485,,5.548076923076923,5.548076923076923,0.2385839097990644,19.639423076923077
2030,2,1.14,139.78414721500485,,4.5576923076923075,4.5576923076923075,0.2108738185488432,14.072115384615385
2030,2,1.5,139.78414721500485,,2.889423076923077,2.889423076923077,0.1322548868928959,6.7451923076923075
2030,3,1.0,181.6501396250638,,7.800480769230769,7.800480769230769,0.2687808695514012,37.18509615384615
2030,3,1.14,181.6501396250638,,6.221153846153846,6.221153846153846,0.25103888230588806,24.286057692307693
2030,3,1.5,181.6501396250638,,4.043269230769231,4.043269230769231,0.20476528505561567,11.088942307692308
2030,4,1.0,158.46268747000076,,6.163461538461538,6.163461538461538,0.24928543574923953,24.932692307692307
2030,4,1.14,158.46268747000076,,5.177884615384615,5.177884615384615,0.23186800478354466,17.98798076923077
2030,4,1.5,158.46268747000076,,3.46875,3.46875,0.17524042396560194,8.716346153846153
2030,5,1.0,118.37725980501587,,3.5384615384615383,3.5384615384615383,0.14796068917150298,12.576923076923077
2030,5,1.14,118.37725980501587,,2.7740384615384617,2.7740384615384617,0.1338278596912475,8.540865384615385
2030,5,1.5,118.37725980501587,,1.7692307692307692,1.7692307692307692,0.08510328774575096,4.072115384615385
2030,6,1.0,55.22131894061688,,1.1826923076923077,1.1826923076923077,0.05022476818235481,3.2908653846153846
2030,6,1.14,55.22131894061688,,0.8870192307692307,0.8870192307692307,0.036256285114458185,2.0024038461538463
2030,6,1.5,55.22131894061688,,0.5408653846153846,0.5408653846153846,0.0279532967032967,0.9350961538461539
2030,7,1.0,33.60026549020458,,0.5576923076923077,0.5576923076923077,0.020825115055884285,1.0625
2030,7,1.14,33.60026549020458,,0.4110576923076923,0.4110576923076923,0.019698183760683757,0.6658653846153846
2030,7,1.5,33.60026549020458,,0.21394230769230768,0.21394230769230768,0.00893429487179487,0.28846153846153844
2030,8,1.0,21.457054884499744,,0.3581730769230769,0.3581730769230769,0.020150335775335773,0.6370192307692307
2030,8,1.14,21.457054884499744,,0.24519230769230768,0.24519230769230768,0.012740384615384613,0.3701923076923077
2030,8,1.5,21.457054884499744,,0.10096153846153846,0.10096153846153846,0.0,0.11298076923076923
2030,9,1.0,34.853633643095,,0.9038461538461539,0.9038461538461539,0.04133053076309655,1.9663461538461537
2030,9,1.14,34.853633643095,,0.6634615384615384,0.6634615384615384,0.03106736345919038,1.2596153846153846
2030,9,1.5,34.853633643095,,0.34615384615384615,0.34615384615384615,0.013278388278388276,0.5288461538461539
2030,10,1.0,98.83802055085692,,4.805288461538462,4.805288461538462,0.18125624472000676,18.45673076923077
2030,10,1.14,98.83802055085692,,3.8461538461538463,3.8461538461538463,0.15181416841183465,12.264423076923077
