year,threshold,in_degree,out_degree,clustering,ffl
2030,1.0,4.464943910256411,4.464943910256411,0.16921990662008815,19.438701923076923
2030,1.14,3.5947516025641026,3.5947516025641026,0.1511155946694753,13.235176282051281
2030,1.5,2.2788461538461537,2.2788461538461537,0.10497362957800241,6.063902243589744
2031,1.0,4.317908653846154,4.317908653846154,0.16854870452979887,18.33954326923077
2031,1.14,3.5038060897435894,3.5038060897435894,0.147100578596371,12.64823717948718
2031,1.5,2.207331730769231,2.207331730769231,0.10060413563662883,5.724959935897436
2032,1.0,4.4397035256410255,4.4397035256410255,0.1703146169029015,19.11438301282051
2032,1.14,3.5717147435897436,3.5717147435897436,0.14887179847854098,13.01141826923077
2032,1.5,2.264423076923077,2.264423076923077,0.10409276547712808,5.9318910256410255
2033,1.0,4.473958333333334,4.473958333333334,0.16929081813939775,19.41826923076923
2033,1.14,3.6171875,3.6171875,0.14918005551229596,13.281650641025639
2033,1.5,2.2996794871794872,2.2996794871794872,0.10474811080082377,6.084735576923077
2034,1.0,4.449519230769231,4.449519230769231,0.16763125916895924,18.967147435897434
2034,1.14,3.602764423076923,3.602764423076923,0.14969088403294725,13.025240384615385
2034,1.5,2.2986778846153846,2.2986778846153846,0.10740073090905985,6.020833333333333
2035,1.0,4.3876201923076925,4.3876201923076925,0.16537664200538094,18.674278846153847
2035,1.14,3.543469551282051,3.543469551282051,0.14586317620583567,12.747195512820513
2035,1.5,2.275440705128205,2.275440705128205,0.10664186473085015,5.967748397435898
2036,1.0,4.411458333333334,4.411458333333334,0.16433490353048602,18.89863782051282
2036,1.14,3.5643028846153846,3.5643028846153846,0.1453286801347366,12.947516025641026
2036,1.5,2.289863782051282,2.289863782051282,0.10674393112607235,6.072115384615385
2037,1.0,4.4084535256410255,4.4084535256410255,0.16188072745281168,19.05448717948718
2037,1.14,3.578125,3.578125,0.1449926030169509,13.12479967948718
2037,1.5,2.2862580128205128,2.2862580128205128,0.10767715516901716,6.10536858974359
2038,1.0,4.360376602564103,4.360376602564103,0.16129190341434982,18.708333333333332
2038,1.14,3.53125,3.53125,0.14430989899964827,12.814703525641026
2038,1.5,2.261418269230769,2.261418269230769,0.1051954848902322,5.990584935897436
2039,1.0,4.303285256410256,4.303285256410256,0.1586040170399016,18.513020833333332
2039,1.14,3.4919871794871797,3.4919871794871797,0.14216849696621167,12.735376602564104
2039,1.5,2.224358974358974,2.224358974358974,0.10291591247491681,5.8988381410256405
2040,1.0,4.162059294871795,4.162059294871795,0.15684089016041997,17.39142628205128
2040,1.14,3.3543669871794872,3.3543669871794872,0.13963079707175244,11.876602564102566
2040,1.5,2.1358173076923075,2.1358173076923075,0.09900815565569362,5.517427884615385
2041,1.0,4.282051282051282,4.282051282051282,0.1586259750122926,18.3359375
2041,1.14,3.459735576923077,3.459735576923077,0.14137204991307442,12.565304487179485
2041,1.5,2.211738782051282,2.211738782051282,0.10297129949330208,5.8667868589743595
2042,1.0,4.254206730769231,4.254206730769231,0.15965689994442947,18.010616987179485
2042,1.14,3.4451121794871797,3.4451121794871797,0.14142336593083762,12.40264423076923
2042,1.5,2.2069310897435894,2.2069310897435894,0.10200644970349317,5.8120993589743595
2043,1.0,4.209735576923077,4.209735576923077,0.1595411321645425,17.71454326923077
2043,1.14,3.4124599358974357,3.4124599358974357,0.14185556020679352,12.167067307692308
2043,1.5,2.1818910256410255,2.1818910256410255,0.10148273747740708,5.7079326923076925
2044,1.0,4.245793269230769,4.245793269230769,0.16080359773152936,18.04346955128205
