node_id,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,1.0,3.126377198685681,9.161724295913324,0,0,0.0,0
1,1.0,7.996454976598869,27.802459259031966,0,0,0.0,0
2,1.0,20.314260179364847,45.570799647696276,0,0,0.0,0
3,1.0,17.471254026602548,40.01504079481178,0,0,0.0,0
4,1.0,25.670458670962855,82.06757029212895,0,1,0.0,0
5,1.0,39.215121095022035,70.71244833787205,1,2,0.0,2
6,1.0,4.266235538148502,9.217843932065083,0,0,0.0,0
7,1.0,5.900614221254488,11.94890025561188,0,0,0.0,0
8,1.0,10.940367455864159,16.2521239440916,0,0,0.0,0
9,1.0,10.493014010670102,36.033474614712546,0,0,0.0,0
10,1.0,14.61563522627017,72.30410130100442,0,0,0.0,0
11,1.0,21.201293943518056,87.10841253119024,0,0,0.0,0
12,1.0,27.621426948884757,54.3084831724447,0,0,0.0,0
13,1.0,45.63607026580646,64.27243405641815,1,0,0.0,0
14,1.0,70.04507133845274,54.992769389787696,1,0,0.0,0
15,1.0,84.24037091744985,62.299662966732186,1,2,0.0,2
16,1.0,64.98186540199661,59.08857664193016,1,3,0.0,4
17,1.0,7.163220071431996,45.85839709208523,0,0,0.0,0
18,1.0,12.217975364813984,31.936738525731155,0,0,0.0,0
19,1.0,18.67470633459024,38.579064472203065,0,0,0.0,0
20,1.0,12.224160687930121,68.98237296693725,0,0,0.0,0
21,1.0,10.091397818967927,56.87983492687304,0,0,0.0,0
22,1.0,12.097908952893492,47.5968855940397,0,0,0.0,0
23,1.0,15.495755155082357,89.80715193089003,0,0,0.0,0
24,1.0,18.127562099381578,92.66833518238798,0,0,0.0,0
25,1.0,20.151767082818633,92.73007166496274,0,0,0.0,0
26,1.0,25.7168780338366,95.31788285974191,0,0,0.0,0
27,1.0,32.10246739252264,97.80946733880405,0,0,0.0,0
28,1.0,47.814438077285374,90.05049987842987,2,0,0.0,0
29,1.0,107.64862403263272,86.21579508518604,2,2,0.0,2
30,1.0,65.77654406215984,8.357892664566691,0,0,0.0,0
31,1.0,0.10292816545260403,4.1971573137274465,0,0,0.0,0
32,1.0,6.858024807469737,29.198181251585996,0,0,0.0,0
33,1.0,13.327750823566573,46.61056164101748,0,0,0.0,0
34,1.0,22.054727531126414,42.99944377807077,0,0,0.0,0
35,1.0,11.474174384530846,68.03473900071323,0,0,0.0,0
36,1.0,6.300885157685971,43.996578798212994,0,0,0.0,0
37,1.0,5.381033452332207,66.66196848692881,0,0,0.0,0
38,1.0,6.472130989409359,88.12570917755976,0,0,0.0,0
39,1.0,11.203216404202887,86.94150894300704,0,0,0.0,0
40,1.0,17.981627091797964,87.85984952026139,0,0,0.0,0
41,1.0,29.445170153816754,88.40096048686429,0,0,0.0,0
42,1.0,39.33122023679294,90.52830980834075,1,1,0.0,1
43,1.0,50.40258118603549,91.93267753042805,1,1,0.0,1
44,1.0,60.65088861800258,95.48289870237464,1,2,0.0,3
45,1.0,63.073163772814794,95.99623449105854,2,1,0.0,1
46,1.0,53.88976991937729,100.10126855120807,1,0,0.0,0
47,1.0,61.57680112532031,35.49231779184495,0,0,0.0,0
48,1.0,40.873128415483535,6.177995692367185,0,0,0.0,0
49,1.0,0.16939054053768743,19.743137751179347,0,0,0.0,0
50,1.0,7.032306041342717,39.36668782478721,0,0,0.0,0
51,1.0,17.55652315351492,49.67587991882942,0,0,0.0,0
52,1.0,13.205868863197377,71.05283192469639,0,0,0.0,0
53,1.0,4.894813625422172,77.54562141649232,0,0,0.0,0
54,1.0,4.525753101219484,82.8468272924433,0,0,0.0,0
55,1.0,3.7121603414892848,77.58404013288606,0,0,0.0,0
56,1.0,5.703867349553062,70.06031864390586,0,0,0.0,0
57,1.0,8.895354838592961,78.46813439569894,0,0,0.0,0
58,1.0,14.148440036514382,86.65233732654691,0,0,0.0,0
59,1.0,19.415836715464252,85.2004410148132,0,0,0.0,0
60,1.0,29.35184272837774,91.89250865821592,0,0,0.0,0
61,1.0,40.0963792972941,93.87363763861379,0,0,0.0,0
62,1.0,54.41503890832109,97.71911377144059,1,1,0.0,1
63,1.0,66.98696713840158,84.62801210621987,1,1,0.0,1
64,1.0,79.12506470651886,100.14278052331139,1,3,0.0,5
65,1.0,80.5200244308304,101.68606462442067,2,3,0.0,5
66,1.0,78.03352840676213,104.63113584049678,2,2,0.0,3
67,1.0,0.6478137228581807,29.970379719076032,0,0,0.0,0
68,1.0,5.501317255270752,21.368592116708555,0,0,0.0,0
69,1.0,7.68079750239478,22.473561203481207,0,0,0.0,0
70,1.0,4.045378462893461,79.13409377040625,0,0,0.0,0
71,1.0,2.7009549009361176,83.78479067393728,0,0,0.0,0
72,1.0,2.4881581248782623,82.64471806265647,0,0,0.0,0
73,1.0,2.455294924482929,81.34497081939635,0,0,0.0,0
74,1.0,4.791782210075486,44.87771899421725,0,0,0.0,0
75,1.0,8.048143384602309,72.17331513148842,0,0,0.0,0
76,1.0,13.19367156718663,89.70599151942585,0,0,0.0,0
77,1.0,19.6474485463166,90.86936577749368,0,0,0.0,0
78,1.0,29.691003588394167,83.70974829652314,0,0,0.0,0
79,1.0,41.33599038209963,95.07846178289488,0,0,0.0,0
80,1.0,54.8178699960668,91.62420150165386,0,0,0.0,0
81,1.0,69.7592861328733,99.52282598412043,1,1,0.0,1
82,1.0,82.02528719673796,101.67514843743783,2,2,0.0,3
83,1.0,94.40576466564909,102.98984457616415,2,3,0.0,5
84,1.0,116.44849968227413,105.2603742911698,3,3,0.08333333333333333,6
85,1.0,1.0758312484259025,24.157214711844873,0,0,0.0,0
86,1.0,8.601927647269154,44.3563290166813,0,0,0.0,0
87,1.0,8.913426541829173,59.030093391748814,0,0,0.0,0
88,1.0,3.0778091466298827,85.05953999207122,0,0,0.0,0
89,1.0,1.7457192164661661,83.78902595577529,0,0,0.0,0
90,1.0,1.4263257064246935,81.83135003070481,0,0,0.0,0
91,1.0,2.672647591284776,76.1560703543951,0,0,0.0,0
92,1.0,4.624172302785427,33.80826790823311,0,0,0.0,0
93,1.0,7.222581689260825,84.58689368182607,0,0,0.0,0
94,1.0,11.510426464258154,90.36318522479459,0,0,0.0,0
