year,month,threshold,prec,evap,in_degree,out_degree,clustering,ffl
2030,1,1.0,179.5610196245673,82.382491033658,7.2235576923076925,7.2235576923076925,0.2902169136651515,33.65384615384615
2030,1,1.14,179.5610196245673,82.382491033658,5.8485576923076925,5.8485576923076925,0.2620540799788897,23.47596153846154
2030,1,1.5,179.5610196245673,82.382491033658,3.8221153846153846,3.8221153846153846,0.21031526555757862,11.817307692307692
2030,2,1.0,160.4888459342538,74.17723959295726,6.03125,6.03125,0.2570523037126275,25.932692307692307
2030,2,1.14,160.4888459342538,74.17723959295726,4.971153846153846,4.971153846153846,0.23510979846031013,18.69951923076923
2030,2,1.5,160.4888459342538,74.17723959295726,3.201923076923077,3.201923076923077,0.166136010898234,9.257211538461538
2030,3,1.0,195.4706253116462,80.05394540352813,7.576923076923077,7.576923076923077,0.3015216628038603,35.85576923076923
2030,3,1.14,195.4706253116462,80.05394540352813,6.112980769230769,6.112980769230769,0.2676235739654144,24.36778846153846
2030,3,1.5,195.4706253116462,80.05394540352813,3.831730769230769,3.831730769230769,0.20008872072607106,10.961538461538462
2030,4,1.0,204.24096860766394,76.0709034808229,7.408653846153846,7.408653846153846,0.2692392353506692,36.04567307692308
2030,4,1.14,204.24096860766394,76.0709034808229,6.165865384615385,6.165865384615385,0.25181853979596974,25.588942307692307
2030,4,1.5,204.24096860766394,76.0709034808229,4.144230769230769,4.144230769230769,0.18881520335704555,12.80048076923077
2030,5,1.0,149.58599385642904,74.73199849051471,4.793269230769231,4.793269230769231,0.17410517650604915,23.115384615384617
2030,5,1.14,149.58599385642904,74.73199849051471,3.733173076923077,3.733173076923077,0.14847439615419245,15.14423076923077
2030,5,1.5,149.58599385642904,74.73199849051471,2.3653846153846154,2.3653846153846154,0.11047170159407682,6.872596153846154
2030,6,1.0,67.38422135179538,65.38300105811331,1.5600961538461537,1.5600961538461537,0.06554914648523476,5.367788461538462
2030,6,1.14,67.38422135179538,65.38300105811331,1.1995192307692308,1.1995192307692308,0.05038327576109119,3.4399038461538463
2030,6,1.5,67.38422135179538,65.38300105811331,0.7163461538461539,0.7163461538461539,0.03438571978235439,1.4543269230769231
2030,7,1.0,37.539461761229404,66.09221447146491,0.6346153846153846,0.6346153846153846,0.03106596477460448,1.4278846153846154
2030,7,1.14,37.539461761229404,66.09221447146491,0.49038461538461536,0.49038461538461536,0.02449119390225159,0.9783653846153846
2030,7,1.5,37.539461761229404,66.09221447146491,0.3004807692307692,0.3004807692307692,0.01708447802197802,0.5048076923076923
2030,8,1.0,25.243529214137002,68.92236774416595,0.40625,0.40625,0.022334349678099677,0.8076923076923077
2030,8,1.14,25.243529214137002,68.92236774416595,0.31971153846153844,0.31971153846153844,0.014705433455433455,0.5889423076923077
2030,8,1.5,25.243529214137002,68.92236774416595,0.17307692307692307,0.17307692307692307,0.0046875,0.25721153846153844
2030,9,1.0,42.968118256472465,70.34295060797437,1.3581730769230769,1.3581730769230769,0.06532425177368541,3.425480769230769
2030,9,1.14,42.968118256472465,70.34295060797437,1.0504807692307692,1.0504807692307692,0.05700869996330969,2.3052884615384617
2030,9,1.5,42.968118256472465,70.34295060797437,0.5697115384615384,0.5697115384615384,0.03036191239316239,0.9543269230769231
2030,10,1.0,117.84625326817195,79.81792644799272,5.853365384615385,5.853365384615385,0.21782262913030498,27.134615384615383
2030,10,1.14,117.84625326817195,79.81792644799272,4.721153846153846,4.721153846153846,0.1975474270185225,18.766826923076923
2030,10,1.5,117.84625326817195,79.81792644799272,2.980769230769231,2.980769230769231,0.1478596062641137,8.716346153846153
2030,11,1.0,155.96678902484857,81.02831733041745,7.372596153846154,7.372596153846154,0.27518343344949875,38.09615384615385
2030,11,1.14,155.96678902484857,81.02831733041745,5.90625,5.90625,0.245816895245281,25.802884615384617
2030,11,1.5,155.96678902484857,81.02831733041745,3.862980769230769,3.862980769230769,0.19175929805082162,12.677884615384615
2030,12,1.0,200.40531398676941,82.51549963939857,8.610576923076923,8.610576923076923,0.3014927844806728,48.43269230769231
2030,12,1.14,200.40531398676941,82.51549963939857,7.016826923076923,7.016826923076923,0.2831057653176253,33.82451923076923
2030,12,1.5,200.40531398676941,82.51549963939857,4.653846153846154,4.653846153846154,0.23343819966371138,16.778846153846153
2031,1,1.0,177.24216731125443,81.78579155765951,7.007211538461538,7.007211538461538,0.2821291235990151,32.07451923076923
2031,1,1.14,177.24216731125443,81.78579155765951,5.706730769230769,5.706730769230769,0.26042221776201,22.473557692307693
2031,1,1.5,177.24216731125443,81.78579155765951,3.75,3.75,0.20236461271509726,11.391826923076923
2031,2,1.0,156.52363163376134,73.54640571321058,5.947115384615385,5.947115384615385,0.25333845502784436,26.067307692307693
2031,2,1.14,156.52363163376134,73.54640571321058,4.913461538461538,4.913461538461538,0.2248756954463785,19.1875
2031,2,1.5,156.52363163376134,73.54640571321058,3.168269230769231,3.168269230769231,0.16974516147527285,9.411057692307692
2031,3,1.0,194.64463559165546,78.9197619830551,7.632211538461538,7.632211538461538,0.30265268884543733,35.84134615384615
2031,3,1.14,194.64463559165546,78.9197619830551,6.141826923076923,6.141826923076923,0.2743463911019389,24.23798076923077
2031,3,1.5,194.64463559165546,78.9197619830551,3.8533653846153846,3.8533653846153846,0.20378242383648465,10.997596153846153
2031,4,1.0,202.09426733165748,75.46220228870023,7.449519230769231,7.449519230769231,0.2734397749361301,36.61057692307692
2031,4,1.14,202.09426733165748,75.46220228870023,6.201923076923077,6.201923076923077,0.2546487088335365,26.17548076923077
2031,4,1.5,202.09426733165748,75.46220228870023,4.09375,4.09375,0.19413832042024415,12.64423076923077
2031,5,1.0,150.69169943018295,73.9789971702379,4.737980769230769,4.737980769230769,0.16476484015452814,23.598557692307693
2031,5,1.14,150.69169943018295,73.9789971702379,3.699519230769231,3.699519230769231,0.14744117159329123,15.257211538461538
