year,threshold,in_degree,out_degree,clustering,ffl
2030,1.0,4.902443910256411,4.902443910256411,0.18924232098420485,23.274639423076923
2030,1.14,3.9613381410256414,3.9613381410256414,0.1698449232515242,16.081931089743588
2030,1.5,2.5518830128205128,2.5518830128205128,0.12795030135909558,7.754407051282052
2031,1.0,4.833533653846154,4.833533653846154,0.1872246803369911,22.803285256410255
2031,1.14,3.9086538461538463,3.9086538461538463,0.16826414969750478,15.787459935897434
2031,1.5,2.5220352564102564,2.5220352564102564,0.1271042798055942,7.649038461538462
2032,1.0,4.844551282051282,4.844551282051282,0.18852733227630333,22.869591346153847
2032,1.14,3.9214743589743586,3.9214743589743586,0.1695670061465004,15.874399038461538
2032,1.5,2.5238381410256414,2.5238381410256414,0.1273325148566139,7.624799679487179
2033,1.0,4.755809294871795,4.755809294871795,0.18645009176704425,22.376001602564102
2033,1.14,3.8575721153846154,3.8575721153846154,0.16742425005544914,15.591947115384615
2033,1.5,2.490184294871795,2.490184294871795,0.1261322702366403,7.5498798076923075
2034,1.0,4.548277243589744,4.548277243589744,0.18122148378277952,20.947516025641026
2034,1.14,3.6834935897435894,3.6834935897435894,0.16290754363976923,14.622395833333334
2034,1.5,2.3760016025641026,2.3760016025641026,0.12150094436337448,7.084535256410256
2035,1.0,4.437099358974359,4.437099358974359,0.17727869641826827,20.415865384615383
2035,1.14,3.591746794871795,3.591746794871795,0.15919806364362132,14.201322115384615
2035,1.5,2.3173076923076925,2.3173076923076925,0.11786720332734305,6.907451923076923
2036,1.0,4.400040064102564,4.400040064102564,0.17674949552381974,20.150641025641026
2036,1.14,3.559094551282051,3.559094551282051,0.15826551899002228,14.030048076923077
2036,1.5,2.2870592948717947,2.2870592948717947,0.1180677450437877,6.7712339743589745
2037,1.0,4.153846153846154,4.153846153846154,0.1702336305291413,18.29747596153846
2037,1.14,3.3587740384615383,3.3587740384615383,0.15315535802821437,12.737179487179487
2037,1.5,2.158253205128205,2.158253205128205,0.11165327337498253,6.170673076923077
2038,1.0,4.013221153846154,4.013221153846154,0.16812142455975573,17.55028044871795
2038,1.14,3.2445913461538463,3.2445913461538463,0.149684572084356,12.25
2038,1.5,2.069911858974359,2.069911858974359,0.10802670754278106,5.892227564102564
2039,1.0,4.071314102564103,4.071314102564103,0.16991512911191523,17.895432692307693
2039,1.14,3.296073717948718,3.296073717948718,0.15401848703075366,12.506610576923077
2039,1.5,2.098157051282051,2.098157051282051,0.11081579824043632,5.9787660256410255
2040,1.0,4.105368589743589,4.105368589743589,0.17057918764277355,18.283052884615383
2040,1.14,3.321514423076923,3.321514423076923,0.15372282084860653,12.66806891025641
2040,1.5,2.12119391025641,2.12119391025641,0.1124206668499936,6.071714743589744
2041,1.0,4.106770833333334,4.106770833333334,0.17127878697902585,18.41025641025641
2041,1.14,3.3257211538461537,3.3257211538461537,0.1534770933519992,12.828125
2041,1.5,2.109775641025641,2.109775641025641,0.11185479277212157,6.0777243589743595
2042,1.0,4.007211538461538,4.007211538461538,0.16952186449984777,17.672876602564102
2042,1.14,3.2281650641025643,3.2281650641025643,0.15045175086042925,12.206530448717949
2042,1.5,2.05869391025641,2.05869391025641,0.10950848400096526,5.81630608974359
2043,1.0,4.0108173076923075,4.0108173076923075,0.16937312977585903,17.643830128205128
2043,1.14,3.2369791666666665,3.2369791666666665,0.15148167171799412,12.28485576923077
2043,1.5,2.0683092948717947,2.0683092948717947,0.10833832413934076,5.836538461538462
2044,1.0,4.107572115384615,4.107572115384615,0.173141509423628,18.260817307692307
2044,1.14,3.3283253205128203,3.3283253205128203,0.15405247089716004,12.741786858974358
2044,1.5,2.122796474358974,2.1227964743589745,0.1149021760577258,6.0647035256410255
2045,1.0,3.9623397435897436,3.9623397435897436,0.17161518921135432,17.200120192307693
2045,1.14,3.223157051282051,3.223157051282051,0.15184848409796248,12.098958333333334
2045,1.5,2.050080128205128,2.050080128205128,0.11136020162044974,5.768429487179487
2046,1.0,3.8731971153846154,3.8731971153846154,0.1679262452142764,16.730368589743588
2046,1.14,3.144230769230769,3.144230769230769,0.15038617451812025,11.768028846153847
2046,1.5,2.0026041666666665,2.0026041666666665,0.10810034332236772,5.638621794871795
2047,1.0,3.9683493589743586,3.9683493589743586,0.17026223815563013,17.73798076923077
2047,1.14,3.2201522435897436,3.2201522435897436,0.15021390583706037,12.404847756410257
2047,1.5,2.047676282051282,2.047676282051282,0.11072053637540327,5.920272435897436
2048,1.0,3.9306891025641026,3.9306891025641026,0.16733597054365706,17.474759615384617
2048,1.14,3.2033253205128203,3.2033253205128203,0.15100645954875958,12.3135016025641
2048,1.5,2.045673076923077,2.045673076923077,0.10997073652479791,5.915665064102564
2049,1.0,3.7920673076923075,3.7920673076923075,0.16244427246155374,16.771634615384617
2049,1.14,3.0703125,3.0703125,0.14690842905881002,11.762620192307692
2049,1.5,1.9615384615384615,1.9615384615384615,0.10315336951001931,5.642628205128205
2050,1.0,3.7071314102564106,3.7071314102564106,0.16226338589304404,16.29627403846154
2050,1.14,3.0004006410256414,3.0004006410256414,0.14392685781390363,11.377203525641026
2050,1.5,1.896834935897436,1.896834935897436,0.10127458695812469,5.415064102564102
