lat,lon,mean_annual_prec,std_annual_prec,mean_annual_evap,std_annual_evap
-6.12565445026178,-78.75,1113.8023209898358,428.707702171192,743.9251276702962,108.73599516058903
-5.183246073298429,-78.75,1239.6245305998946,447.9876740118594,900.0128109899961,141.28620110626036
-4.2408376963350785,-78.75,1506.4597932803235,504.90041286279893,1033.029351653473,131.66119094498248
-3.298429319371728,-78.75,1574.8871554585921,513.6305657681504,974.6094004975457,109.92648821223281
-2.356020942408377,-78.75,1727.4200708305293,547.8913032632404,898.9736975342967,85.15024626094151
-1.4136125654450262,-78.75,1918.779903428203,588.325465569862,771.1179745130357,84.05570838295795
-8.952879581151834,-77.5,1382.548492146896,469.3409863013024,843.3393888512027,125.66171096665842
-8.010471204188482,-77.5,1241.9202631587534,426.64957895800876,784.3607962465231,119.55809101361814
-7.0680628272251305,-77.5,1336.3150844769093,447.15269451181643,865.2041589652763,109.65675640974911
-6.12565445026178,-77.5,1539.0148079337887,464.6985464852291,1076.9435021016689,75.5211386729725
-5.183246073298429,-77.5,1846.3680724118688,536.9681447173284,1154.5418400367198,76.76131414752582
-4.2408376963350785,-77.5,1805.411852102209,536.9708668494092,1230.189613743627,72.5967668575734
-3.298429319371728,-77.5,2052.3076863972797,609.1311717102535,1179.778270316383,78.1123486083072
-2.356020942408377,-77.5,2333.733271614672,658.5637438776371,1099.2985784819175,90.008844204845
-1.4136125654450262,-77.5,2550.745131102524,671.0361388749258,982.1791234239936,95.77803902930798
-0.4712041884816754,-77.5,2433.2115795765912,647.8882322834432,862.7049761153175,88.65984851572303
0.4712041884816754,-77.5,2128.4519354861186,633.2646679254951,878.4508331367688,83.10130240877317
-10.837696335078537,-76.25,1423.7630519974891,439.7477301724763,710.3153439882444,85.61606601670567
-9.895287958115185,-76.25,1834.3346780826112,556.8881742746147,752.5317177083198,102.24003417655624
-8.952879581151834,-76.25,2492.3692135174756,713.0828929948078,968.7409097998316,88.16726224033668
-8.010471204188482,-76.25,1923.057407041978,591.8174637404721,1145.2206249559385,69.66243886862803
-7.0680628272251305,-76.25,1613.8502998357108,483.283559777185,1218.708184519579,66.14137731625858
-6.12565445026178,-76.25,1663.589953476957,449.17979299030617,1236.9525613888982,63.87868737964689
-5.183246073298429,-76.25,1731.1483861082838,505.0743760894337,1275.1745071621262,65.80793500916369
-4.2408376963350785,-76.25,1653.7482136116716,532.862517004963,1274.5245959796302,66.65755460563433
-3.298429319371728,-76.25,1719.9394800668842,572.8611261316831,1267.3580660396547,70.37865227134607
-2.356020942408377,-76.25,1790.381598945985,607.381435259102,1260.2435706923716,70.3312383656825
-1.4136125654450262,-76.25,1817.9731013527858,615.7488515455741,1259.3234228562796,67.05494448028061
-0.4712041884816754,-76.25,1990.5141978667807,646.8434622039786,1249.044260121882,65.9859054238305
0.4712041884816754,-76.25,2678.9582591839194,743.3312452743539,1142.2847530743456,78.83614099738294
1.4136125654450262,-76.25,2589.6206827788897,680.2058680741421,1009.8035915615328,80.1147563259774
-13.664921465968591,-75.0,601.3604913233726,292.5668613704412,417.9574720601565,160.98862835578205
-12.72251308900524,-75.0,1207.4642963683966,402.8615964828596,618.6799167529671,102.55980615310142
-11.780104712041888,-75.0,2034.779013963991,575.6326295044196,697.4524739633489,83.542153968498
-10.837696335078537,-75.0,3034.241515317486,768.6865922121567,936.6406749580347,94.81815263907507
-9.895287958115185,-75.0,2415.7837775581334,722.0121815993552,1112.4216975619784,74.50666497868437
