year,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
2030,1.1514,-6.639901329037456,-64.54326923076923,154.93365530353066,95.98010138617252,5.1298076923076925,5.1298076923076925,0.18220953837914655,24.353966346153847
2030,3.112,-6.639901329037456,-64.54326923076923,154.93365530353066,95.98010138617252,0.9407051282051282,0.9407051282051282,0.031655632447407864,1.7037259615384615
2031,1.1514,-6.639901329037456,-64.54326923076923,153.28185651851467,96.0419576174239,5.0,5.0,0.18063732585689,23.218950320512818
2031,3.112,-6.639901329037456,-64.54326923076923,153.28185651851467,96.0419576174239,0.8920272435897435,0.8920272435897435,0.029313672661357294,1.6001602564102564
2032,1.1514,-6.639901329037456,-64.54326923076923,155.43180136572258,96.10414604658624,5.083133012820513,5.083133012820513,0.18247439097678628,23.78966346153846
2032,3.112,-6.639901329037456,-64.54326923076923,155.43180136572258,96.10414604658624,0.9150641025641026,0.9150641025641026,0.029535717475200802,1.6438301282051282
2033,1.1514,-6.639901329037456,-64.54326923076923,156.65837799502015,96.22455678646307,5.1193910256410255,5.1193910256410255,0.18339407088083937,23.978966346153847
2033,3.112,-6.639901329037456,-64.54326923076923,156.65837799502015,96.22455678646307,0.9423076923076923,0.9423076923076923,0.030335812133941962,1.6931089743589745
2034,1.1514,-6.639901329037456,-64.54326923076923,156.50211878447524,96.23053502763933,5.11338141025641,5.11338141025641,0.18115197092235868,23.881410256410255
2034,3.112,-6.639901329037456,-64.54326923076923,156.50211878447524,96.23053502763933,0.9519230769230769,0.9519230769230769,0.03108692005646506,1.6995192307692308
2035,1.1514,-6.639901329037456,-64.54326923076923,154.81076824755039,95.93712446749444,5.042467948717948,5.042467948717948,0.17800374183534878,23.59835737179487
2035,3.112,-6.639901329037456,-64.54326923076923,154.81076824755039,95.93712446749444,0.9477163461538461,0.9477163461538461,0.03188482345760854,1.6844951923076923
2036,1.1514,-6.639901329037456,-64.54326923076923,155.02094206583783,95.82736352866559,5.049278846153846,5.049278846153846,0.1779207631773514,23.66907051282051
2036,3.112,-6.639901329037456,-64.54326923076923,155.02094206583783,95.82736352866559,0.9597355769230769,0.9597355769230769,0.03164347618531134,1.702724358974359
2037,1.1514,-6.639901329037456,-64.54326923076923,154.28860139531096,95.72920204060839,5.053485576923077,5.053485576923077,0.17596669437154452,23.943309294871792
2037,3.112,-6.639901329037456,-64.54326923076923,154.28860139531096,95.72920204060839,0.9681490384615384,0.9681490384615384,0.03269069511469685,1.7321714743589745
2038,1.1514,-6.639901329037456,-64.54326923076923,153.79820788056378,95.90863136729043,5.003605769230769,5.003605769230769,0.1758562733719741,23.50721153846154
2038,3.112,-6.639901329037456,-64.54326923076923,153.79820788056378,95.90863136729043,0.9599358974358974,0.9599358974358974,0.03027252915455455,1.7025240384615385
2039,1.1514,-6.639901329037456,-64.54326923076923,152.07876871969808,95.6473064932143,4.94931891025641,4.94931891025641,0.17438897713084614,23.42648237179487
2039,3.112,-6.639901329037456,-64.54326923076923,152.07876871969808,95.6473064932143,0.9453125,0.9453125,0.030724672196743245,1.6909054487179487
2040,1.1514,-6.639901329037456,-64.54326923076923,149.25676495362123,95.49089536445102,4.813301282051282,4.813301282051282,0.17215001934218532,22.295873397435898
2040,3.112,-6.639901329037456,-64.54326923076923,149.25676495362123,95.49089536445102,0.9082532051282051,0.9082532051282051,0.028246505568737916,1.6183894230769231
2041,1.1514,-6.639901329037456,-64.54326923076923,151.46591849204236,95.40163814803958,4.961137820512821,4.961137820512821,0.1749425572470537,23.583533653846153
2041,3.112,-6.639901329037456,-64.54326923076923,151.46591849204236,95.40163814803958,0.9473157051282051,0.9473157051282051,0.03057475952991677,1.6931089743589742
2042,1.1514,-6.639901329037456,-64.54326923076923,152.25412536121422,95.4966852809693,4.939903846153846,4.939903846153846,0.17443589731000778,23.310697115384617
2042,3.112,-6.639901329037456,-64.54326923076923,152.25412536121422,95.4966852809693,0.9451121794871795,0.9451121794871795,0.03143276277534949,1.6939102564102564
2043,1.1514,-6.639901329037456,-64.54326923076923,151.7297748667117,95.40009078442752,4.886418269230769,4.886418269230769,0.1733970130915579,22.905048076923077
2043,3.112,-6.639901329037456,-64.54326923076923,151.7297748667117,95.40009078442752,0.9310897435897435,0.9310897435897435,0.030970073899775404,1.6678685897435899
2044,1.1514,-6.639901329037456,-64.54326923076923,152.53712941324167,95.32847671762339,4.916666666666666,4.916666666666666,0.1740991879361481,23.150240384615383
2044,3.112,-6.639901329037456,-64.54326923076923,152.53712941324167,95.32847671762339,0.9425080128205128,0.9425080128205128,0.030552267452440787,1.696915064102564
2045,1.1514,-6.639901329037456,-64.54326923076923,155.44551392781005,95.76146974931758,5.051282051282052,5.051282051282052,0.17693971836926517,24.045272435897438
2045,3.112,-6.639901329037456,-64.54326923076923,155.44551392781005,95.76146974931758,0.9747596153846154,0.9747596153846154,0.03191582008630471,1.7552083333333333
2046,1.1514,-6.639901329037456,-64.54326923076923,153.69989155740333,96.03088598262639,4.921274038461538,4.921274038461538,0.1743539680141698,22.872796474358974
2046,3.112,-6.639901329037456,-64.54326923076923,153.69989155740333,96.03088598262639,0.9214743589743589,0.9214743589743589,0.029798391557951,1.6478365384615385
2047,1.1514,-6.639901329037456,-64.54326923076923,151.19362897290827,96.11090862793843,4.714543269230769,4.714543269230769,0.17086002638306505,21.28545673076923
2047,3.112,-6.639901329037456,-64.54326923076923,151.19362897290827,96.11090862793843,0.8555689102564104,0.8555689102564104,0.02844688231482454,1.5108173076923077
2048,1.1514,-6.639901329037456,-64.54326923076923,151.0528356119115,96.1079984494511,4.627403846153846,4.627403846153846,0.16820648428884655,20.657451923076923
2048,3.112,-6.639901329037456,-64.54326923076923,151.0528356119115,96.1079984494511,0.8303285256410257,0.8303285256410257,0.028743415897065968,1.4557291666666667
2049,1.1514,-6.639901329037456,-64.54326923076923,150.27347199942542,96.26756351069116,4.509014423076923,4.509014423076923,0.16860498946465657,19.594951923076923
2049,3.112,-6.639901329037456,-64.54326923076923,150.27347199942542,96.26756351069116,0.7932692307692307,0.7932692307692307,0.026291724615421248,1.365584935897436
2050,1.1514,-6.639901329037456,-64.54326923076923,151.1483513542927,96.0799019900831,4.5889423076923075,4.5889423076923075,0.17019621132956836,20.20272435897436
2050,3.112,-6.639901329037456,-64.54326923076923,151.1483513542927,96.0799019900831,0.813301282051282,0.813301282051282,0.026639541954134746,1.4232772435897436
2051,1.1514,-6.639901329037456,-64.54326923076923,151.49104603553928,96.02831030804,4.555288461538462,4.555288461538462,0.16785761597841786,19.853365384615383
2051,3.112,-6.639901329037456,-64.54326923076923,151.49104603553928,96.02831030804,0.8175080128205128,0.8175080128205128,0.026078557967998697,1.4250801282051282
2052,1.1514,-6.639901329037456,-64.54326923076923,150.1625953757925,96.17750101707702,4.452524038461538,4.452524038461538,0.16694277815427888,19.217748397435898
2052,3.112,-6.639901329037456,-64.54326923076923,150.1625953757925,96.17750101707702,0.7880608974358974,0.7880608974358974,0.026809259638075473,1.3629807692307692
2053,1.1514,-6.639901329037456,-64.54326923076923,147.90824085975663,96.16454478613764,4.3459535256410255,4.3459535256410255,0.1631318296319586,18.60176282051282
2053,3.112,-6.639901329037456,-64.54326923076923,147.90824085975663,96.16454478613764,0.7540064102564104,0.7540064102564104,0.02460654111006801,1.297275641025641
2054,1.1514,-6.639901329037456,-64.54326923076923,146.7942667147235,95.9030977554257,4.327123397435897,4.327123397435897,0.1631046364935481,18.511017628205128
2054,3.112,-6.639901329037456,-64.54326923076923,146.7942667147235,95.9030977554257,0.7475961538461539,0.7475961538461539,0.02570914160056986,1.2888621794871793
2055,1.1514,-6.639901329037456,-64.54326923076923,147.28169731670212,95.59364272805058,4.3649839743589745,4.3649839743589745,0.1623458665822355,18.755608974358974
2055,3.112,-6.639901329037456,-64.54326923076923,147.28169731670212,95.59364272805058,0.7612179487179488,0.7612179487179488,0.024778166466937077,1.3086939102564101
2056,1.1514,-6.639901329037456,-64.54326923076923,149.01681238061778,95.29550167154025,4.459334935897436,4.459334935897436,0.1648050737799074,19.442307692307693
2056,3.112,-6.639901329037456,-64.54326923076923,149.01681238061778,95.29550167154025,0.8004807692307693,0.8004807692307693,0.02617124666621941,1.3848157051282053
2057,1.1514,-6.639901329037456,-64.54326923076923,151.99034846924658,95.35836838534813,4.628405448717949,4.628405448717949,0.16554213830811995,20.93329326923077
2057,3.112,-6.639901329037456,-64.54326923076923,151.99034846924658,95.35836838534813,0.8553685897435896,0.8553685897435896,0.02907355988313173,1.4973958333333333
2058,1.1514,-6.639901329037456,-64.54326923076923,150.50284157895192,95.202832119159,4.565104166666666,4.565104166666666,0.16468566670836474,20.494591346153847
2058,3.112,-6.639901329037456,-64.54326923076923,150.50284157895192,95.202832119159,0.8451522435897435,0.8451522435897435,0.02963535295043361,1.4745592948717947
2059,1.1514,-6.639901329037456,-64.54326923076923,150.1446587583959,94.97903040525492,4.597355769230769,4.597355769230769,0.1643450078526825,20.911057692307693
2059,3.112,-6.639901329037456,-64.54326923076923,150.1446587583959,94.97903040525492,0.8521634615384616,0.8521634615384616,0.029690968343987125,1.5024038461538463
2060,1.1514,-6.639901329037456,-64.54326923076923,151.54258906041798,95.19666764953553,4.652043269230769,4.652043269230769,0.164317757487988,21.38341346153846
2060,3.112,-6.639901329037456,-64.54326923076923,151.54258906041798,95.19666764953553,0.8611778846153846,0.8611778846153846,0.030032654741936855,1.5268429487179487
2061,1.1514,-6.639901329037456,-64.54326923076923,150.72401725957414,95.44165780026552,4.592948717948718,4.592948717948718,0.16400674242173352,21.01622596153846
2061,3.112,-6.639901329037456,-64.54326923076923,150.72401725957414,95.44165780026552,0.828125,0.828125,0.0290973522492482,1.4519230769230769
2062,1.1514,-6.639901329037456,-64.54326923076923,149.00391678779707,95.1957360840555,4.55488782051282,4.55488782051282,0.16086910119308115,20.924078525641026
2062,3.112,-6.639901329037456,-64.54326923076923,149.00391678779707,95.1957360840555,0.8267227564102565,0.8267227564102565,0.028336792849161224,1.4663461538461537
2063,1.1514,-6.639901329037456,-64.54326923076923,150.1743950993644,95.2051329792983,4.605568910256411,4.605568910256411,0.1632089002839726,21.25040064102564
2063,3.112,-6.639901329037456,-64.54326923076923,150.1743950993644,95.2051329792983,0.8379407051282051,0.8379407051282051,0.03002314400404283,1.4895833333333333
