year,threshold,prec,evap,in_degree,out_degree,clustering,ffl
2030,1.0,154.93365530353066,95.98010138617252,6.389423076923077,6.389423076923077,0.19997693914485853,36.24699519230769
2030,1.14,154.93365530353066,95.98010138617252,5.210336538461538,5.210336538461538,0.1833453878883544,25.057291666666668
2030,1.5,154.93365530353066,95.98010138617252,3.3511618589743586,3.3511618589743586,0.14278137817144262,11.609375
2031,1.0,153.28185651851467,96.0419576174239,6.213741987179487,6.213741987179487,0.1997708298401045,34.36838942307692
2031,1.14,153.28185651851467,96.0419576174239,5.085336538461538,5.085336538461538,0.1825999678958013,23.927283653846153
2031,1.5,153.28185651851467,96.0419576174239,3.2592147435897436,3.2592147435897436,0.14113372968214563,11.043870192307692
2032,1.0,155.43180136572258,96.10414604658624,6.345352564102564,6.345352564102564,0.20108587365801128,35.40765224358974
2032,1.14,155.43180136572258,96.10414604658624,5.163060897435898,5.163060897435898,0.18393497358008526,24.45693108974359
2032,1.5,155.43180136572258,96.10414604658624,3.316105769230769,3.316105769230769,0.14311289500982294,11.30889423076923
2033,1.0,156.65837799502015,96.22455678646307,6.3962339743589745,6.3962339743589745,0.2010848600646529,35.89683493589743
2033,1.14,156.65837799502015,96.22455678646307,5.195112179487179,5.195112179487179,0.18449368008518188,24.607972756410255
2033,1.5,156.65837799502015,96.22455678646307,3.3623798076923075,3.3623798076923075,0.14457556425536924,11.565304487179487
2034,1.0,156.50211878447524,96.23053502763933,6.369791666666667,6.369791666666667,0.19887807922165615,35.523237179487175
2034,1.14,156.50211878447524,96.23053502763933,5.1875,5.1875,0.18220845127194807,24.509815705128208
2034,1.5,156.50211878447524,96.23053502763933,3.365985576923077,3.365985576923077,0.1434691814885609,11.577123397435896
2035,1.0,154.81076824755039,95.93712446749444,6.283052884615385,6.283052884615385,0.19604945972697096,35.01502403846154
2035,1.14,154.81076824755039,95.93712446749444,5.12119391025641,5.12119391025641,0.17963757316200285,24.275841346153847
2035,1.5,154.81076824755039,95.93712446749444,3.3229166666666665,3.3229166666666665,0.14207040992699668,11.442307692307692
2036,1.0,155.02094206583783,95.82736352866559,6.294070512820513,6.294070512820513,0.19585413349130884,35.147035256410255
2036,1.14,155.02094206583783,95.82736352866559,5.126602564102564,5.126602564102564,0.17898117475290778,24.31610576923077
2036,1.5,155.02094206583783,95.82736352866559,3.3399439102564106,3.3399439102564106,0.14163769715084557,11.575120192307692
2037,1.0,154.28860139531096,95.72920204060839,6.277844551282052,6.277844551282052,0.19391380009776163,35.40384615384615
2037,1.14,154.28860139531096,95.72920204060839,5.131610576923077,5.131610576923077,0.17740148824568625,24.59314903846154
2037,1.5,154.28860139531096,95.72920204060839,3.340544871794872,3.340544871794872,0.1404798697264643,11.624198717948719
2038,1.0,153.79820788056378,95.90863136729043,6.246794871794871,6.246794871794871,0.19395682023893912,35.15464743589743
2038,1.14,153.79820788056378,95.90863136729043,5.080929487179487,5.080929487179487,0.1765161227369035,24.161658653846153
2038,1.5,153.79820788056378,95.90863136729043,3.3251201923076925,3.3251201923076925,0.1401162916245695,11.486979166666666
2039,1.0,152.07876871969808,95.6473064932143,6.171073717948717,6.171073717948717,0.1912192101433847,34.932291666666664
2039,1.14,152.07876871969808,95.6473064932143,5.0334535256410255,5.0334535256410255,0.1762676793618202,24.1270032051282
2039,1.5,152.07876871969808,95.6473064932143,3.280048076923077,3.280048076923077,0.1376115107144636,11.375
2040,1.0,149.25676495362123,95.49089536445102,6.007211538461538,6.007211538461538,0.18923354203912812,33.171073717948715
2040,1.14,149.25676495362123,95.49089536445102,4.895833333333334,4.895833333333334,0.1738587101686007,22.97295673076923
2040,1.5,149.25676495362123,95.49089536445102,3.1868990384615383,3.1868990384615383,0.1353521510780341,10.842347756410257
2041,1.0,151.46591849204236,95.40163814803958,6.163060897435898,6.163060897435898,0.19060341867632216,34.90244391025641
2041,1.14,151.46591849204236,95.40163814803958,5.03525641025641,5.03525641025641,0.17606551692530406,24.212940705128208
2041,1.5,151.46591849204236,95.40163814803958,3.2822516025641026,3.2822516025641026,0.1374073240788058,11.439703525641026
2042,1.0,152.25412536121422,95.4966852809693,6.143830128205129,6.143830128205129,0.19125912149083896,34.518830128205124
2042,1.14,152.25412536121422,95.4966852809693,5.016426282051283,5.016426282051283,0.175765342300792,23.94951923076923
2042,1.5,152.25412536121422,95.4966852809693,3.270032051282051,3.270032051282051,0.13680399319446737,11.341947115384615
2043,1.0,151.7297748667117,95.40009078442752,6.0907451923076925,6.0907451923076925,0.19002518721056408,34.08273237179487
2043,1.14,151.7297748667117,95.40009078442752,4.962740384615385,4.962740384615385,0.17471281478987005,23.56971153846154
2043,1.5,151.7297748667117,95.40009078442752,3.2317708333333335,3.2317708333333335,0.13589223781654203,11.154046474358974
2044,1.0,152.53712941324167,95.32847671762339,6.118790064102564,6.118790064102564,0.1916192728912642,34.33653846153846
2044,1.14,152.53712941324167,95.32847671762339,4.9951923076923075,4.9951923076923075,0.17568061194347942,23.812099358974358
2044,1.5,152.53712941324167,95.32847671762339,3.2391826923076925,3.2391826923076925,0.13700334844004308,11.150040064102566
2045,1.0,155.44551392781005,95.76146974931758,6.267027243589744,6.267027243589744,0.19469142448867002,35.37239583333333
2045,1.14,155.44551392781005,95.76146974931758,5.131009615384615,5.131009615384615,0.17922120397331348,24.728766025641026
2045,1.5,155.44551392781005,95.76146974931758,3.3307291666666665,3.3307291666666665,0.13973563908911932,11.574719551282051
2046,1.0,153.69989155740333,96.03088598262639,6.135416666666667,6.135416666666667,0.19348390333167367,33.94611378205128
2046,1.14,153.69989155740333,96.03088598262639,4.996594551282052,4.996594551282052,0.17554118787282647,23.49939903846154
2046,1.5,153.69989155740333,96.03088598262639,3.242988782051282,3.242988782051282,0.13869696601154094,11.078525641025642
2047,1.0,151.19362897290827,96.11090862793843,5.864783653846154,5.864783653846154,0.1905102556022509,31.376602564102562
2047,1.14,151.19362897290827,96.11090862793843,4.790264423076923,4.790264423076923,0.1724424264968404,21.85997596153846
2047,1.5,151.19362897290827,96.11090862793843,3.0809294871794872,3.0809294871794872,0.1344644576345443,10.227964743589743
2048,1.0,151.0528356119115,96.1079984494511,5.766225961538462,5.766225961538462,0.18787065621747343,30.53485576923077
2048,1.14,151.0528356119115,96.1079984494511,4.704927884615385,4.704927884615385,0.16934618139675572,21.275240384615383
2048,1.5,151.0528356119115,96.1079984494511,3.0186298076923075,3.0186298076923075,0.13151618877749804,9.917067307692308
2049,1.0,150.27347199942542,96.26756351069116,5.6480368589743595,5.6480368589743595,0.1878817011037615,29.15665064102564
2049,1.14,150.27347199942542,96.26756351069116,4.583333333333334,4.583333333333334,0.1699834075139798,20.127804487179485
2049,1.5,150.27347199942542,96.26756351069116,2.942107371794872,2.942107371794872,0.12898985255666862,9.444711538461538
2050,1.0,151.1483513542927,96.0799019900831,5.724158653846154,5.724158653846154,0.1877875077490505,29.865785256410255
2050,1.14,151.1483513542927,96.0799019900831,4.658653846153846,4.658653846153846,0.17140278475230097,20.756009615384617
2050,1.5,151.1483513542927,96.0799019900831,2.988982371794872,2.988982371794872,0.1292605719754209,9.741386217948717
2051,1.0,151.49104603553928,96.02831030804,5.713541666666667,5.713541666666667,0.18724183499113317,29.7363782051282
2051,1.14,151.49104603553928,96.02831030804,4.636618589743589,4.636618589743589,0.16948365202994659,20.512820512820515
2051,1.5,151.49104603553928,96.02831030804,2.994190705128205,2.994190705128205,0.12969342062073042,9.720753205128206
2052,1.0,150.1625953757925,96.17750101707702,5.607371794871795,5.607371794871795,0.18408359896195595,28.837940705128208
2052,1.14,150.1625953757925,96.17750101707702,4.523036858974359,4.523036858974359,0.16804262513416163,19.763421474358974
2052,1.5,150.1625953757925,96.17750101707702,2.9244791666666665,2.9244791666666665,0.12873846932876892,9.389623397435896
2053,1.0,147.90824085975663,96.16454478613764,5.435697115384615,5.435697115384615,0.18138285689706446,27.565304487179485
2053,1.14,147.90824085975663,96.16454478613764,4.410857371794872,4.410857371794872,0.16453260869381786,19.089142628205128
2053,1.5,147.90824085975663,96.16454478613764,2.8439503205128203,2.8439503205128203,0.12535009633797067,9.061097756410255
2054,1.0,146.7942667147235,95.9030977554257,5.391426282051283,5.391426282051283,0.18003592995212722,27.330328525641026
2054,1.14,146.7942667147235,95.9030977554257,4.391626602564103,4.391626602564103,0.16422975895891262,18.989583333333332
2054,1.5,146.7942667147235,95.9030977554257,2.8257211538461537,2.8257211538461537,0.12382915754607077,8.971354166666668
2055,1.0,147.28169731670212,95.59364272805058,5.42568108974359,5.42568108974359,0.1806567897943792,27.610376602564102
2055,1.14,147.28169731670212,95.59364272805058,4.433293269230769,4.433293269230769,0.16346306330778465,19.28125
2055,1.5,147.28169731670212,95.59364272805058,2.846955128205128,2.846955128205128,0.12427685604057753,9.086538461538462
2056,1.0,149.01681238061778,95.29550167154025,5.556690705128205,5.556690705128205,0.1833595175948037,28.719551282051277
2056,1.14,149.01681238061778,95.29550167154025,4.532652243589744,4.532652243589744,0.16557908001369473,20.00420673076923
2056,1.5,149.01681238061778,95.29550167154025,2.936698717948718,2.9366987179487176,0.1274255564059951,9.55068108974359
2057,1.0,151.99034846924658,95.35836838534813,5.771634615384615,5.771634615384615,0.1841087274328056,30.917067307692307
2057,1.14,151.99034846924658,95.35836838534813,4.700520833333334,4.700520833333334,0.1674885167031242,21.50440705128205
2057,1.5,151.99034846924658,95.35836838534813,3.060296474358974,3.060296474358974,0.1313361299526634,10.306089743589743
2058,1.0,150.50284157895192,95.202832119159,5.688902243589744,5.688902243589744,0.18154005829057146,30.261017628205124
2058,1.14,150.50284157895192,95.202832119159,4.632211538461538,4.632211538461538,0.1654894587176223,21.00841346153846
2058,1.5,150.50284157895192,95.202832119159,3.019831730769231,3.019831730769231,0.1295700346106502,10.067508012820513
2059,1.0,150.1446587583959,94.97903040525492,5.723958333333333,5.723958333333333,0.1803298645903753,30.897435897435894
2059,1.14,150.1446587583959,94.97903040525492,4.660857371794872,4.660857371794872,0.16522384154792905,21.424679487179485
2059,1.5,150.1446587583959,94.97903040525492,3.0372596153846154,3.0372596153846154,0.1288750917403436,10.294270833333334
2060,1.0,151.54258906041798,95.19666764953553,5.7816506410256405,5.7816506410256405,0.18118885604109478,31.583333333333332
2060,1.14,151.54258906041798,95.19666764953553,4.727964743589744,4.727964743589744,0.16556930276229195,22.025240384615383
2060,1.5,151.54258906041798,95.19666764953553,3.064703525641026,3.064703525641026,0.13046870503957286,10.451923076923077
2061,1.0,150.72401725957414,95.44165780026552,5.7001201923076925,5.7001201923076925,0.1810873510384191,30.884014423076923
2061,1.14,150.72401725957414,95.44165780026552,4.660456730769231,4.660456730769231,0.16497634310758952,21.54627403846154
2061,1.5,150.72401725957414,95.44165780026552,3.0104166666666665,3.0104166666666665,0.1291944270454037,10.174679487179487
2062,1.0,149.00391678779707,95.1957360840555,5.655248397435898,5.655248397435898,0.17869755384188732,30.787860576923077
2062,1.14,149.00391678779707,95.1957360840555,4.623197115384615,4.623197115384615,0.1620956529834689,21.470152243589745
2062,1.5,149.00391678779707,95.1957360840555,2.9969951923076925,2.9969951923076925,0.1275186879586683,10.250400641025642
2063,1.0,150.1743950993644,95.2051329792983,5.723758012820513,5.723758012820513,0.17815468784095215,31.264222756410255
2063,1.14,150.1743950993644,95.2051329792983,4.676482371794872,4.676482371794872,0.1636717829036013,21.83273237179487
2063,1.5,150.1743950993644,95.2051329792983,3.0530849358974357,3.0530849358974357,0.12930404255240285,10.496995192307692
2064,1.0,150.86587099355094,95.62033257406308,5.700721153846154,5.700721153846154,0.18014530303204493,30.832532051282048
2064,1.14,150.86587099355094,95.62033257406308,4.6532451923076925,4.6532451923076925,0.1648147513631484,21.49278846153846
2064,1.5,150.86587099355094,95.62033257406308,3.0232371794871797,3.0232371794871797,0.12880553237421627,10.240785256410257
2065,1.0,149.74584574853952,95.67450146294543,5.607772435897436,5.607772435897436,0.180131448862287,30.143429487179485
2065,1.14,149.74584574853952,95.67450146294543,4.587139423076923,4.587139423076923,0.16337781171811167,21.098758012820515
2065,1.5,149.74584574853952,95.67450146294543,2.9755608974358974,2.9755608974358974,0.12808833901371128,10.041466346153847
2066,1.0,147.20152490956815,95.71295864735868,5.458533653846154,5.458533653846154,0.176712296007666,29.12119391025641
2066,1.14,147.20152490956815,95.71295864735868,4.448918269230769,4.448918269230769,0.1604208586702972,20.26201923076923
2066,1.5,147.20152490956815,95.71295864735868,2.8647836538461537,2.8647836538461537,0.12418564294020161,9.55869391025641
2067,1.0,144.96569563681174,95.6660979529436,5.272435897435898,5.272435897435898,0.1749085053774995,27.048076923076923
2067,1.14,144.96569563681174,95.6660979529436,4.295673076923077,4.295673076923077,0.15825227963709076,18.834334935897434
2067,1.5,144.96569563681174,95.6660979529436,2.7518028846153846,2.7518028846153846,0.12001088654601234,8.807692307692308
2068,1.0,146.82631361137376,95.7048044149773,5.381209935897436,5.381209935897436,0.1776100410735849,27.90625
2068,1.14,146.82631361137376,95.7048044149773,4.378605769230769,4.378605769230769,0.1613817813421642,19.34094551282051
2068,1.5,146.82631361137376,95.7048044149773,2.8050881410256414,2.8050881410256414,0.12169164097578927,9.070112179487179
2069,1.0,147.5743556984033,95.81587838292354,5.403846153846154,5.403846153846154,0.1800556328355979,27.9004407051282
2069,1.14,147.5743556984033,95.81587838292354,4.384615384615385,4.384615384615385,0.16247790103971707,19.268028846153847
2069,1.5,147.5743556984033,95.81587838292354,2.828926282051282,2.828926282051282,0.12231461621622355,9.122395833333332
2070,1.0,145.49353894555475,95.67228342858273,5.261418269230769,5.261418269230769,0.17661574185489884,26.694911858974358
2070,1.14,145.49353894555475,95.67228342858273,4.268429487179487,4.268429487179487,0.15884485539669815,18.469751602564102
2070,1.5,145.49353894555475,95.67228342858273,2.7495993589743586,2.7495993589743586,0.11934268881251492,8.776041666666666
2071,1.0,146.00479502519175,95.38403562238426,5.287459935897436,5.287459935897436,0.17636633662614282,26.998597756410255
2071,1.14,146.00479502519175,95.38403562238426,4.294070512820513,4.294070512820513,0.1597678849274044,18.656650641025642
2071,1.5,146.00479502519175,95.38403562238426,2.7580128205128203,2.7580128205128203,0.11912304178173735,8.818910256410255
2072,1.0,146.26574782927676,95.3345769087229,5.235576923076923,5.235576923076923,0.1767540998051335,26.354366987179485
2072,1.14,146.26574782927676,95.3345769087229,4.252604166666666,4.252604166666666,0.15911164147817952,18.25020032051282
2072,1.5,146.26574782927676,95.3345769087229,2.7459935897435894,2.7459935897435894,0.1210218336802077,8.718549679487179
2073,1.0,144.83158834736116,95.20845462486702,5.105769230769231,5.105769230769231,0.17475808908649526,25.24198717948718
2073,1.14,144.83158834736116,95.20845462486702,4.1328125,4.1328125,0.1557619201023853,17.399439102564102
2073,1.5,144.83158834736116,95.20845462486702,2.6856971153846154,2.6856971153846154,0.11813044498534166,8.42548076923077
2074,1.0,145.0480932863816,94.9654756859418,5.087139423076923,5.087139423076923,0.1749278352499474,25.115384615384617
2074,1.14,145.0480932863816,94.9654756859418,4.114583333333334,4.114583333333334,0.1551300877342266,17.335536858974358
2074,1.5,145.0480932863816,94.9654756859418,2.6720753205128203,2.6720753205128203,0.11804094655532454,8.412259615384615
2075,1.0,147.11518952083867,95.07397723775165,5.172475961538462,5.172475961538462,0.17710769766221976,25.6953125
2075,1.14,147.11518952083867,95.07397723775165,4.171474358974359,4.171474358974359,0.15788770410051406,17.61358173076923
2075,1.5,147.11518952083867,95.07397723775165,2.697315705128205,2.697315705128205,0.11824480955832661,8.44130608974359
2076,1.0,146.27426110399207,95.01079541643377,5.068309294871795,5.068309294871795,0.17450627358375007,24.845753205128208
2076,1.14,146.27426110399207,95.01079541643377,4.1037660256410255,4.1037660256410255,0.15518013927270632,17.197716346153847
2076,1.5,146.27426110399207,95.01079541643377,2.6422275641025643,2.6422275641025643,0.11538814191231725,8.179487179487179
2077,1.0,145.81898659549503,94.93469328023471,5.014423076923077,5.014423076923077,0.17220888499912854,24.50400641025641
2077,1.14,145.81898659549503,94.93469328023471,4.0673076923076925,4.0673076923076925,0.15416917711097328,16.98157051282051
2077,1.5,145.81898659549503,94.93469328023471,2.6187900641025643,2.6187900641025643,0.11324432122673216,8.10516826923077
2078,1.0,143.43061920492022,94.66220101514153,4.903645833333334,4.903645833333334,0.16989735790562818,23.741786858974358
2078,1.14,143.43061920492022,94.66220101514153,3.9857772435897436,3.9857772435897436,0.15154443177051344,16.503004807692307
2078,1.5,143.43061920492022,94.66220101514153,2.5709134615384617,2.5709134615384617,0.11324107958858422,7.874799679487179
2079,1.0,143.71839111891939,94.54777812012019,4.908253205128205,4.908253205128205,0.16834929174751537,23.850560897435898
2079,1.14,143.71839111891939,94.54777812012019,3.9895833333333335,3.9895833333333335,0.15068320560687695,16.513221153846153
