year,month,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
2030,1,1.0,-6.639901329037456,-64.54326923076923,204.99410929105537,105.12855919718878,8.26923076923077,8.26923076923077,0.2799942202449785,45.52403846153846
2030,1,1.14,-6.639901329037456,-64.54326923076923,204.99410929105537,105.12855919718878,6.766826923076923,6.766826923076923,0.25704823740230076,32.02884615384615
2030,1,1.5,-6.639901329037456,-64.54326923076923,204.99410929105537,105.12855919718878,4.355769230769231,4.355769230769231,0.19411498283221584,15.48798076923077
2030,2,1.0,-6.639901329037456,-64.54326923076923,225.17718547734705,95.646754915182,9.317307692307692,9.317307692307692,0.283626378348191,48.93990384615385
2030,2,1.14,-6.639901329037456,-64.54326923076923,225.17718547734705,95.646754915182,7.610576923076923,7.610576923076923,0.2617837691676865,33.98317307692308
2030,2,1.5,-6.639901329037456,-64.54326923076923,225.17718547734705,95.646754915182,4.9951923076923075,4.9951923076923075,0.21236144888273253,16.76201923076923
2030,3,1.0,-6.639901329037456,-64.54326923076923,260.9471634207506,104.03815918891024,11.790865384615385,11.790865384615385,0.3278171738818309,76.33173076923077
2030,3,1.14,-6.639901329037456,-64.54326923076923,260.9471634207506,104.03815918891024,9.625,9.625,0.3120254998498434,51.78605769230769
2030,3,1.5,-6.639901329037456,-64.54326923076923,260.9471634207506,104.03815918891024,6.045673076923077,6.045673076923077,0.25351783415887647,21.74278846153846
2030,4,1.0,-6.639901329037456,-64.54326923076923,233.34985326243364,99.78371752861234,9.923076923076923,9.923076923076923,0.2913537888246435,56.79086538461539
2030,4,1.14,-6.639901329037456,-64.54326923076923,233.34985326243364,99.78371752861234,8.240384615384615,8.240384615384615,0.27874265790135444,39.74278846153846
2030,4,1.5,-6.639901329037456,-64.54326923076923,233.34985326243364,99.78371752861234,5.574519230769231,5.574519230769231,0.23567505988424386,19.240384615384617
2030,5,1.0,-6.639901329037456,-64.54326923076923,165.3464359134104,94.70536692999293,5.711538461538462,5.711538461538462,0.1736777969431495,29.733173076923077
2030,5,1.14,-6.639901329037456,-64.54326923076923,165.3464359134104,94.70536692999293,4.641826923076923,4.641826923076923,0.16131289113739644,20.865384615384617
2030,5,1.5,-6.639901329037456,-64.54326923076923,165.3464359134104,94.70536692999293,3.0240384615384617,3.0240384615384617,0.13051900346314246,9.80048076923077
2030,6,1.0,-6.639901329037456,-64.54326923076923,82.86863868527861,85.14276574464947,2.1586538461538463,2.1586538461538463,0.07958041740052826,8.557692307692308
2030,6,1.14,-6.639901329037456,-64.54326923076923,82.86863868527861,85.14276574464947,1.7211538461538463,1.7211538461538463,0.06783559218720006,5.954326923076923
2030,6,1.5,-6.639901329037456,-64.54326923076923,82.86863868527861,85.14276574464947,1.0192307692307692,1.0192307692307692,0.04066856463985989,2.454326923076923
2030,7,1.0,-6.639901329037456,-64.54326923076923,46.55535779536342,85.30479254501675,0.9302884615384616,0.9302884615384616,0.04358517613608111,2.5
2030,7,1.14,-6.639901329037456,-64.54326923076923,46.55535779536342,85.30479254501675,0.7043269230769231,0.7043269230769231,0.03397338505511582,1.5793269230769231
2030,7,1.5,-6.639901329037456,-64.54326923076923,46.55535779536342,85.30479254501675,0.42788461538461536,0.42788461538461536,0.01715602106227106,0.7620192307692307
2030,8,1.0,-6.639901329037456,-64.54326923076923,28.18826065577182,86.93143610314769,0.5504807692307693,0.5504807692307693,0.03141754079254079,1.2451923076923077
