node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,0.2367,57.360219296391186,35.64311637572879,1,6,0.5,21
1,-5.183246073298429,-78.75,0.2367,74.61981790536667,58.83384688346287,2,15,0.48095238095238096,127
2,-4.2408376963350785,-78.75,0.2367,113.37431535316291,47.86233910087205,2,23,0.4525691699604743,261
3,-3.298429319371728,-78.75,0.2367,122.26768623989975,33.871550293691264,3,18,0.5147058823529411,182
4,-2.356020942408377,-78.75,0.2367,130.47861688729748,69.55106331370189,3,84,0.3288957399103139,2428
5,-1.4136125654450262,-78.75,0.2367,152.718597874362,67.25094311390421,2,89,0.3462324393358876,2817
6,-8.952879581151834,-77.5,0.2367,45.921510509811995,57.591984096741434,2,9,0.45714285714285713,44
7,-8.010471204188482,-77.5,0.2367,47.748316021739214,55.78470293145943,2,11,0.39814814814814814,59
8,-7.0680628272251305,-77.5,0.2367,54.115257867334925,48.090765884377674,3,7,0.4642857142857143,28
9,-6.12565445026178,-77.5,0.2367,64.5286571371731,36.67102201080086,4,5,0.35714285714285715,16
10,-5.183246073298429,-77.5,0.2367,99.34681893953893,72.99101024950657,6,17,0.423444976076555,158
11,-4.2408376963350785,-77.5,0.2367,149.97277903376894,94.40541135456296,7,54,0.31480397893504974,1049
12,-3.298429319371728,-77.5,0.2367,199.96215767637077,48.01812565428957,7,26,0.46652267818574517,353
13,-2.356020942408377,-77.5,0.2367,237.57581028185277,61.03324374284078,6,65,0.3656143344709898,1635
14,-1.4136125654450262,-77.5,0.2367,260.32185800444586,44.221362430117345,6,51,0.4524612272420769,1201
15,-0.4712041884816754,-77.5,0.2367,233.51727872885488,49.882061797359,5,87,0.3713464901324007,2892
16,0.4712041884816754,-77.5,0.2367,188.0400042399711,54.493660663068056,3,76,0.38427350427350426,2264
17,-10.837696335078537,-76.25,0.2367,36.034477167944075,46.17775811913588,1,8,0.4523809523809524,34
18,-9.895287958115185,-76.25,0.2367,48.45649476564494,47.45407797769613,2,11,0.4909090909090909,70
19,-8.952879581151834,-76.25,0.2367,108.31405453789995,32.42580034335069,4,14,0.4083333333333333,106
20,-8.010471204188482,-76.25,0.2367,109.05532156831927,63.45016288236644,9,27,0.29732142857142857,285
21,-7.0680628272251305,-76.25,0.2367,108.89466171806023,61.580712669477194,9,23,0.3187066974595843,237
22,-6.12565445026178,-76.25,0.2367,104.59441554683974,43.24521985110265,13,11,0.3471615720524017,74
23,-5.183246073298429,-76.25,0.2367,106.58072627130102,99.94955137839308,15,43,0.3323567708333333,733
24,-4.2408376963350785,-76.25,0.2367,121.73635477404537,106.32300658661057,15,67,0.3347068145800317,1617
25,-3.298429319371728,-76.25,0.2367,146.68406210952065,108.65586417440248,19,86,0.3311094166984369,2626
26,-2.356020942408377,-76.25,0.2367,167.24464254574656,108.37697124246155,20,77,0.3634731882432129,2261
27,-1.4136125654450262,-76.25,0.2367,189.1378597298897,106.74624537245371,16,79,0.3829313977991103,2420
28,-0.4712041884816754,-76.25,0.2367,220.43429021420738,75.47020530651918,13,55,0.44062646096306685,1342
29,0.4712041884816754,-76.25,0.2367,320.9207188934674,63.53150232103989,7,82,0.37265917602996257,2612
30,1.4136125654450262,-76.25,0.2367,313.46411103663326,7.615155206191052,3,4,0.6666666666666666,13
31,-13.664921465968591,-75.0,0.2367,3.264020672654169,30.253326754548553,0,0,0.0,0
32,-12.72251308900524,-75.0,0.2367,24.708853860781335,39.598745743034655,1,6,0.6,23
33,-11.780104712041888,-75.0,0.2367,49.578066010783765,43.80638970083396,2,13,0.5,99
34,-10.837696335078537,-75.0,0.2367,134.07895867830197,39.53857265448618,6,24,0.3328912466843501,242
35,-9.895287958115185,-75.0,0.2367,106.16375805793501,61.30417259707928,10,27,0.27525252525252525,262
36,-8.952879581151834,-75.0,0.2367,65.27095718786791,39.80823074938689,18,6,0.36403508771929827,27
37,-8.010471204188482,-75.0,0.2367,58.03854903620968,70.57752922325297,19,12,0.3163771712158809,80
38,-7.0680628272251305,-75.0,0.2367,68.75162540830495,96.47957513282067,22,27,0.2710843373493976,291
39,-6.12565445026178,-75.0,0.2367,93.06065209958518,97.6962440124909,23,46,0.270606884057971,758
40,-5.183246073298429,-75.0,0.2367,129.90098656782058,98.75926688617798,21,80,0.2731023102310231,2000
41,-4.2408376963350785,-75.0,0.2367,177.83104732860355,101.10947468427167,21,144,0.2129110471283528,4728
42,-3.298429319371728,-75.0,0.2367,207.915975274497,102.04954873257424,21,153,0.23826530612244898,5883
43,-2.356020942408377,-75.0,0.2367,239.46848886921902,101.54710712773344,21,154,0.2644744805325802,6609
44,-1.4136125654450262,-75.0,0.2367,264.1878626911201,102.72451540228475,17,151,0.2875931608943446,6748
45,-0.4712041884816754,-75.0,0.2367,257.039087852531,96.42154629086097,18,116,0.33055459071436843,4612
46,0.4712041884816754,-75.0,0.2367,257.7827555425294,99.50746378035187,16,91,0.36461199779856907,3184
47,1.4136125654450262,-75.0,0.2367,296.6285230309773,29.834527019536463,7,16,0.59375,179
48,2.356020942408377,-75.0,0.2367,332.9380952649084,5.226930170348364,1,1,0.0,1
49,-14.607329842931941,-73.75,0.2367,5.886165711381515,39.48408361533609,4,3,0.5,6
50,-13.664921465968591,-73.75,0.2367,31.737778537357254,44.78615503389453,7,6,0.4,23
51,-12.72251308900524,-73.75,0.2367,97.22579523956671,60.40846127708347,8,17,0.3458498023715415,149
52,-11.780104712041888,-73.75,0.2367,116.91211950189049,67.14857919777069,14,44,0.1918075422626788,458
53,-10.837696335078537,-73.75,0.2367,72.40819925857676,78.15324315441899,17,17,0.3556910569105691,143
54,-9.895287958115185,-73.75,0.2367,59.97891369634236,87.1195798306383,21,15,0.35495495495495494,114
55,-8.952879581151834,-73.75,0.2367,64.51514364920862,83.8821518384175,22,21,0.3101965601965602,174
56,-8.010471204188482,-73.75,0.2367,77.12664187865133,71.69949908878391,23,24,0.29635258358662614,218
57,-7.0680628272251305,-73.75,0.2367,94.99551783686073,81.18615963690723,23,42,0.2617948717948718,545
58,-6.12565445026178,-73.75,0.2367,122.75764490180235,98.30949702000663,23,71,0.25167304015296366,1409
59,-5.183246073298429,-73.75,0.2367,146.98587269972285,95.31732749577523,24,84,0.27664928995146504,2140
60,-4.2408376963350785,-73.75,0.2367,180.4056130573071,101.21907060893078,27,111,0.26710612333841793,3606
