node_id,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
0,1.1514,-6.12565445026178,-78.75,84.72784740905041,44.65687445801112,2.8333333333333335,1.75,0.2828373015873016,4.0
0,3.112,-6.12565445026178,-78.75,84.72784740905041,44.65687445801112,0.0,0.08333333333333333,0.0,0.08333333333333333
1,1.1514,-5.183246073298429,-78.75,94.94488339470252,52.73973637372024,3.1666666666666665,3.5,0.19799922299922298,11.666666666666666
1,3.112,-5.183246073298429,-78.75,94.94488339470252,52.73973637372024,0.4166666666666667,0.6666666666666666,0.0,1.0
2,1.1514,-4.240837696335079,-78.75,117.19766198295316,62.429044244639435,2.5833333333333335,3.6666666666666665,0.20631513548180214,11.583333333333334
2,3.112,-4.240837696335079,-78.75,117.19766198295316,62.429044244639435,0.5,0.75,0.0,1.0
3,1.1514,-3.298429319371728,-78.75,122.61097932256854,54.903111873044146,1.9166666666666667,2.9166666666666665,0.19980158730158729,7.583333333333333
3,3.112,-3.298429319371728,-78.75,122.61097932256854,54.903111873044146,0.4166666666666667,0.3333333333333333,0.0,0.3333333333333333
4,1.1514,-2.356020942408377,-78.75,136.41779373875224,64.5398399042481,1.6666666666666667,7.166666666666667,0.21268808352141685,29.833333333333332
4,3.112,-2.356020942408377,-78.75,136.41779373875224,64.5398399042481,0.6666666666666666,2.0833333333333335,0.06944444444444443,3.6666666666666665
5,1.1514,-1.4136125654450262,-78.75,153.13942302525248,65.26123072042324,1.9166666666666667,7.583333333333333,0.2315860309281362,33.0
5,3.112,-1.4136125654450262,-78.75,153.13942302525248,65.26123072042324,1.3333333333333333,1.5,0.125,2.0
6,1.1514,-8.952879581151834,-77.5,115.05269093569758,57.486683399414744,2.9166666666666665,9.75,0.2084049234037526,54.833333333333336
6,3.112,-8.952879581151834,-77.5,115.05269093569758,57.486683399414744,1.1666666666666667,3.0,0.14722222222222223,5.75
7,1.1514,-8.010471204188482,-77.5,97.57612711061017,51.29925035798862,3.25,6.916666666666667,0.25567114893095283,30.333333333333332
7,3.112,-8.010471204188482,-77.5,97.57612711061017,51.29925035798862,1.5833333333333333,1.6666666666666667,0.19722222222222222,1.9166666666666667
8,1.1514,-7.0680628272251305,-77.5,97.07035002002489,53.30829917509212,4.25,3.9166666666666665,0.27746743996743994,11.75
8,3.112,-7.0680628272251305,-77.5,97.07035002002489,53.30829917509212,1.5833333333333333,0.5833333333333334,0.2125,0.16666666666666666
9,1.1514,-6.12565445026178,-77.5,112.03082550296186,65.29104034261186,5.25,2.3333333333333335,0.23701483701483697,5.75
9,3.112,-6.12565445026178,-77.5,112.03082550296186,65.29104034261186,1.6666666666666667,0.08333333333333333,0.18611111111111112,0.08333333333333333
10,1.1514,-5.183246073298429,-77.5,132.2983221576902,73.81725126712651,6.416666666666667,4.5,0.17380229604914957,16.916666666666668
10,3.112,-5.183246073298429,-77.5,132.2983221576902,73.81725126712651,0.3333333333333333,0.5833333333333334,0.0,0.8333333333333334
11,1.1514,-4.240837696335079,-77.5,132.25903836089685,79.4959005726587,6.166666666666667,4.583333333333333,0.17745598487875372,15.333333333333334
11,3.112,-4.240837696335079,-77.5,132.25903836089685,79.4959005726587,1.1666666666666667,0.6666666666666666,0.0,0.6666666666666666
12,1.1514,-3.298429319371728,-77.5,150.00611700577682,70.16878616993256,5.0,2.1666666666666665,0.22919107036754094,4.5
12,3.112,-3.298429319371728,-77.5,150.00611700577682,70.16878616993256,0.3333333333333333,0.0,0.0,0.0
13,1.1514,-2.356020942408377,-77.5,168.1860792915451,71.48221008239773,4.333333333333333,3.5,0.25194647585424285,10.583333333333334
13,3.112,-2.356020942408377,-77.5,168.1860792915451,71.48221008239773,0.9166666666666666,0.3333333333333333,0.041666666666666664,0.3333333333333333
14,1.1514,-1.4136125654450262,-77.5,189.4949799548806,67.74071498922292,3.5,3.6666666666666665,0.2831592871066555,12.666666666666666
14,3.112,-1.4136125654450262,-77.5,189.4949799548806,67.74071498922292,1.25,0.3333333333333333,0.16666666666666666,0.3333333333333333
15,1.1514,-0.4712041884816754,-77.5,193.1953495277405,60.52520287601519,2.9166666666666665,7.583333333333333,0.21581887611299375,28.833333333333332
15,3.112,-0.4712041884816754,-77.5,193.1953495277405,60.52520287601519,0.75,1.5833333333333333,0.03472222222222222,2.5833333333333335
16,1.1514,0.4712041884816754,-77.5,176.16999736394305,61.45705068822852,2.4166666666666665,6.416666666666667,0.2588751526251526,20.75
16,3.112,0.4712041884816754,-77.5,176.16999736394305,61.45705068822852,1.0,1.5833333333333333,0.041666666666666664,2.1666666666666665
17,1.1514,-10.837696335078538,-76.25,125.21732886424546,52.79963490898547,2.1666666666666665,12.333333333333334,0.1790753905099808,92.16666666666667
17,3.112,-10.837696335078538,-76.25,125.21732886424546,52.79963490898547,0.75,4.083333333333333,0.11672077922077918,10.416666666666666
18,1.1514,-9.895287958115183,-76.25,151.3749170387341,52.995246668227175,2.6666666666666665,11.833333333333334,0.17113187095825985,75.41666666666667
18,3.112,-9.895287958115183,-76.25,151.3749170387341,52.995246668227175,1.3333333333333333,3.4166666666666665,0.15100108225108222,8.25
19,1.1514,-8.952879581151834,-76.25,202.82454831696478,64.67221077107466,4.5,8.333333333333334,0.19982949061938493,42.083333333333336
19,3.112,-8.952879581151834,-76.25,202.82454831696478,64.67221077107466,1.8333333333333333,1.5833333333333333,0.2200727513227513,2.1666666666666665
20,1.1514,-8.010471204188482,-76.25,145.62461486404433,74.6932741755148,6.083333333333333,6.083333333333333,0.20562228220122958,21.083333333333332
20,3.112,-8.010471204188482,-76.25,145.62461486404433,74.6932741755148,2.5833333333333335,0.75,0.19146825396825395,0.5
21,1.1514,-7.0680628272251305,-76.25,112.76776624344116,75.94035497370866,7.166666666666667,2.0833333333333335,0.22701663124457241,4.25
21,3.112,-7.0680628272251305,-76.25,112.76776624344116,75.94035497370866,2.5833333333333335,0.0,0.18888888888888888,0.0
22,1.1514,-6.12565445026178,-76.25,119.73774552441546,78.81732297287267,7.916666666666667,1.0833333333333333,0.2271071825348141,1.75
22,3.112,-6.12565445026178,-76.25,119.73774552441546,78.81732297287267,1.0833333333333333,0.0,0.11388888888888889,0.0
23,1.1514,-5.183246073298429,-76.25,129.57454319030117,87.65068432247828,8.916666666666666,4.75,0.18811452919410224,17.083333333333332
23,3.112,-5.183246073298429,-76.25,129.57454319030117,87.65068432247828,0.75,0.8333333333333334,0.013888888888888883,1.0833333333333333
24,1.1514,-4.240837696335079,-76.25,127.61990464057767,89.60281108886475,7.916666666666667,5.083333333333333,0.17527712261721395,18.166666666666668
24,3.112,-4.240837696335079,-76.25,127.61990464057767,89.60281108886475,0.8333333333333334,0.8333333333333334,0.0,1.0833333333333333
25,1.1514,-3.298429319371728,-76.25,137.27926515957031,87.6297648768964,7.083333333333333,5.75,0.16512797896126308,21.25
25,3.112,-3.298429319371728,-76.25,137.27926515957031,87.6297648768964,0.8333333333333334,0.9166666666666666,0.0,1.25
26,1.1514,-2.356020942408377,-76.25,142.34602699690026,87.59029164818303,7.416666666666667,5.416666666666667,0.16230512078053358,20.666666666666668
26,3.112,-2.356020942408377,-76.25,142.34602699690026,87.59029164818303,0.8333333333333334,0.75,0.0,0.9166666666666666
27,1.1514,-1.4136125654450262,-76.25,142.98063750334552,86.88010226520004,5.666666666666667,5.583333333333333,0.19694938464466835,23.166666666666668
27,3.112,-1.4136125654450262,-76.25,142.98063750334552,86.88010226520004,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334
28,1.1514,-0.4712041884816754,-76.25,157.21912601166323,84.62579630640876,5.75,3.9166666666666665,0.2868869556369556,13.083333333333334
28,3.112,-0.4712041884816754,-76.25,157.21912601166323,84.62579630640876,0.8333333333333334,0.5,0.013888888888888883,0.5833333333333334
29,1.1514,0.4712041884816754,-76.25,210.31174843170777,74.53376632376721,4.416666666666667,4.333333333333333,0.3246073371073371,10.916666666666666
29,3.112,0.4712041884816754,-76.25,210.31174843170777,74.53376632376721,1.5,0.75,0.05416666666666667,0.8333333333333334
30,1.1514,1.4136125654450262,-76.25,209.975614522737,52.06131148072601,1.6666666666666667,0.08333333333333333,0.2222222222222222,0.08333333333333333
30,3.112,1.4136125654450262,-76.25,209.975614522737,52.06131148072601,0.25,0.0,0.041666666666666664,0.0
31,1.1514,-13.664921465968591,-75.0,51.592970356566696,31.666451041599945,1.75,2.4166666666666665,0.1785396466631726,9.75
31,3.112,-13.664921465968591,-75.0,51.592970356566696,31.666451041599945,0.75,0.75,0.0,1.4166666666666667
32,1.1514,-12.72251308900524,-75.0,100.81472291116836,46.605004483132156,2.9166666666666665,8.916666666666666,0.18598690547355548,62.75
32,3.112,-12.72251308900524,-75.0,100.81472291116836,46.605004483132156,1.1666666666666667,2.75,0.09645061728395062,7.083333333333333
33,1.1514,-11.780104712041888,-75.0,170.96057908354206,49.75972433599589,2.8333333333333335,14.666666666666666,0.21765119728798685,110.5
33,3.112,-11.780104712041888,-75.0,170.96057908354206,49.75972433599589,1.0833333333333333,4.166666666666667,0.12508972508972507,11.166666666666666
34,1.1514,-10.837696335078538,-75.0,252.46077848667315,64.08115126128469,4.166666666666667,12.5,0.18464010301123865,80.75
34,3.112,-10.837696335078538,-75.0,252.46077848667315,64.08115126128469,1.75,2.6666666666666665,0.1708333333333333,4.5
35,1.1514,-9.895287958115183,-75.0,194.61285833463748,77.34491551087154,6.916666666666667,9.416666666666666,0.21545844263235567,45.333333333333336
35,3.112,-9.895287958115183,-75.0,194.61285833463748,77.34491551087154,2.75,1.25,0.1484126984126984,0.8333333333333334
36,1.1514,-8.952879581151834,-75.0,132.77810354378377,84.80839362425907,9.583333333333334,1.4166666666666667,0.2755150350738586,2.5833333333333335
36,3.112,-8.952879581151834,-75.0,132.77810354378377,84.80839362425907,2.5,0.0,0.20138888888888887,0.0
37,1.1514,-8.010471204188482,-75.0,107.04968167152452,84.45186313270608,10.583333333333334,2.3333333333333335,0.18507787502352716,6.166666666666667
37,3.112,-8.010471204188482,-75.0,107.04968167152452,84.45186313270608,1.75,0.0,0.15277777777777776,0.0
38,1.1514,-7.0680628272251305,-75.0,107.22124745098175,84.58361517212838,10.333333333333334,3.25,0.17224224678534586,9.666666666666666
38,3.112,-7.0680628272251305,-75.0,107.22124745098175,84.58361517212838,0.6666666666666666,0.4166666666666667,0.013888888888888883,0.5833333333333334
39,1.1514,-6.12565445026178,-75.0,119.50576420853558,86.59061256661886,9.416666666666666,3.5,0.21670954368628784,10.5
39,3.112,-6.12565445026178,-75.0,119.50576420853558,86.59061256661886,0.5833333333333334,0.4166666666666667,0.0,0.4166666666666667
40,1.1514,-5.183246073298429,-75.0,134.45569127480297,87.32317718433036,8.333333333333334,4.5,0.1787035891675115,16.166666666666668
40,3.112,-5.183246073298429,-75.0,134.45569127480297,87.32317718433036,0.5,0.75,0.0,1.0
41,1.1514,-4.240837696335079,-75.0,150.27759050235036,86.65481777558455,6.75,6.333333333333333,0.1810293832354226,25.416666666666668
41,3.112,-4.240837696335079,-75.0,150.27759050235036,86.65481777558455,0.75,0.9166666666666666,0.0,1.1666666666666667
42,1.1514,-3.298429319371728,-75.0,160.9071581331695,86.21901685391616,5.75,6.833333333333333,0.19952243021359128,29.25
42,3.112,-3.298429319371728,-75.0,160.9071581331695,86.21901685391616,0.75,0.8333333333333334,0.0,1.1666666666666667
43,1.1514,-2.356020942408377,-75.0,167.10164705758112,86.2783190763205,5.916666666666667,6.833333333333333,0.18960328800199608,30.166666666666668
43,3.112,-2.356020942408377,-75.0,167.10164705758112,86.2783190763205,0.5833333333333334,0.9166666666666666,0.0,1.3333333333333333
44,1.1514,-1.4136125654450262,-75.0,170.42795437357913,86.15979401481398,5.833333333333333,7.166666666666667,0.1778419918959846,33.0
44,3.112,-1.4136125654450262,-75.0,170.42795437357913,86.15979401481398,0.75,1.0,0.0,1.5
45,1.1514,-0.4712041884816754,-75.0,161.8570825241092,86.25190161897298,5.916666666666667,6.083333333333333,0.21417686719410856,25.833333333333332
45,3.112,-0.4712041884816754,-75.0,161.8570825241092,86.25190161897298,0.6666666666666666,0.9166666666666666,0.0,1.3333333333333333
46,1.1514,0.4712041884816754,-75.0,147.37643550261748,82.80344609652218,6.333333333333333,3.9166666666666665,0.28949944534309857,11.166666666666666
46,3.112,0.4712041884816754,-75.0,147.37643550261748,82.80344609652218,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334
47,1.1514,1.4136125654450262,-75.0,169.36907330219694,65.62494715512922,3.8333333333333335,1.0,0.351984126984127,1.5
47,3.112,1.4136125654450262,-75.0,169.36907330219694,65.62494715512922,0.25,0.0,0.0,0.0
48,1.1514,2.356020942408377,-75.0,194.3957858312294,46.3956506791531,1.0833333333333333,0.0,0.13194444444444445,0.0
48,3.112,2.356020942408377,-75.0,194.3957858312294,46.3956506791531,0.0,0.0,0.0,0.0
49,1.1514,-14.60732984293194,-73.75,58.18991991072193,35.09837019901953,2.25,2.9166666666666665,0.2655480214884696,11.666666666666666
49,3.112,-14.60732984293194,-73.75,58.18991991072193,35.09837019901953,1.25,1.0,0.2708333333333333,1.75
50,1.1514,-13.664921465968591,-73.75,100.09293284942414,49.4235766010602,3.4166666666666665,6.333333333333333,0.2915194192154977,34.083333333333336
50,3.112,-13.664921465968591,-73.75,100.09293284942414,49.4235766010602,2.3333333333333335,1.5833333333333333,0.21785714285714286,3.25
