year,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
2030,0.2367,-6.639901329037456,-64.54326923076923,147.03552210137826,75.13109761588163,34.67067307692308,34.67067307692308,0.33339313350045213,897.7696314102565
2030,1.1514,-6.639901329037456,-64.54326923076923,147.03552210137826,75.13109761588163,3.8397435897435894,3.8397435897435894,0.1649828846504801,15.725360576923077
2030,3.112,-6.639901329037456,-64.54326923076923,147.03552210137826,75.13109761588163,0.6175881410256411,0.6175881410256411,0.02322112299254483,1.0276442307692308
2031,0.2367,-6.639901329037456,-64.54326923076923,145.2429445024034,74.54791371722212,34.359375,34.359375,0.33496072483852196,882.2922676282051
2031,1.1514,-6.639901329037456,-64.54326923076923,145.2429445024034,74.54791371722212,3.6826923076923075,3.6826923076923075,0.16059377815673,14.669471153846153
2031,3.112,-6.639901329037456,-64.54326923076923,145.2429445024034,74.54791371722212,0.5807291666666667,0.5807291666666667,0.020629398321139494,0.9631410256410257
2032,0.2367,-6.639901329037456,-64.54326923076923,147.15499005422126,73.94067917442212,34.23938301282051,34.23938301282051,0.3358837203850932,868.4162660256411
2032,1.1514,-6.639901329037456,-64.54326923076923,147.15499005422126,73.94067917442212,3.720753205128205,3.720753205128205,0.16309036935253293,14.895833333333334
2032,3.112,-6.639901329037456,-64.54326923076923,147.15499005422126,73.94067917442212,0.5873397435897435,0.5873397435897436,0.020802469006634492,0.9839743589743589
2033,0.2367,-6.639901329037456,-64.54326923076923,148.20873752209326,73.42154707981705,33.91125801282051,33.91125801282051,0.33427662194973523,857.1426282051282
2033,1.1514,-6.639901329037456,-64.54326923076923,148.20873752209326,73.42154707981705,3.727764423076923,3.727764423076923,0.16372188707736848,14.954326923076923
2033,3.112,-6.639901329037456,-64.54326923076923,148.20873752209326,73.42154707981705,0.5975560897435898,0.5975560897435898,0.021520019233428143,1.0044070512820513
2034,0.2367,-6.639901329037456,-64.54326923076923,147.9038460094582,72.72858453029394,33.25460737179487,33.25460737179487,0.3302581503595038,832.5088141025642
2034,1.1514,-6.639901329037456,-64.54326923076923,147.9038460094582,72.72858453029394,3.6822916666666665,3.6822916666666665,0.16069649661968835,14.630408653846153
2034,3.112,-6.639901329037456,-64.54326923076923,147.9038460094582,72.72858453029394,0.5893429487179487,0.5893429487179487,0.021003191295932665,0.9649439102564104
2035,0.2367,-6.639901329037456,-64.54326923076923,146.10672087790002,71.86505798364406,32.43329326923077,32.43329326923077,0.3270249864518258,803.3583733974358
2035,1.1514,-6.639901329037456,-64.54326923076923,146.10672087790002,71.86505798364406,3.586738782051282,3.586738782051282,0.15769816252238777,14.176282051282051
2035,3.112,-6.639901329037456,-64.54326923076923,146.10672087790002,71.86505798364406,0.5843349358974359,0.5843349358974359,0.021842333328659196,0.9559294871794872
2036,0.2367,-6.639901329037456,-64.54326923076923,146.05973985720684,71.09566340365463,32.28665865384615,32.28665865384615,0.3257054266778755,803.2922676282051
2036,1.1514,-6.639901329037456,-64.54326923076923,146.05973985720684,71.09566340365463,3.564503205128205,3.564503205128205,0.15764090625258861,14.081530448717949
2036,3.112,-6.639901329037456,-64.54326923076923,146.05973985720684,71.09566340365463,0.5801282051282052,0.5801282051282052,0.02003836868347168,0.9421073717948718
2037,0.2367,-6.639901329037456,-64.54326923076923,145.22118646953078,70.39737843815159,31.902243589743588,31.902243589743588,0.32297857541759706,786.2429887820513
2037,1.1514,-6.639901329037456,-64.54326923076923,145.22118646953078,70.39737843815159,3.534455128205128,3.534455128205128,0.1560247063105097,14.049879807692308
2037,3.112,-6.639901329037456,-64.54326923076923,145.22118646953078,70.39737843815159,0.5819310897435896,0.5819310897435898,0.022066924635919506,0.9481169871794872
2038,0.2367,-6.639901329037456,-64.54326923076923,144.49374710832143,69.93167824034576,31.6640625,31.6640625,0.3230167423105559,780.8625801282051
2038,1.1514,-6.639901329037456,-64.54326923076923,144.49374710832143,69.93167824034576,3.46875,3.46875,0.1544000894110525,13.6328125
2038,3.112,-6.639901329037456,-64.54326923076923,144.49374710832143,69.93167824034576,0.5679086538461539,0.5679086538461539,0.019889239268596575,0.9144631410256411
2039,0.2367,-6.639901329037456,-64.54326923076923,142.72246823966242,69.133731212844,30.875200320512818,30.87520032051282,0.3175298566912188,751.7836538461538
2039,1.1514,-6.639901329037456,-64.54326923076923,142.72246823966242,69.133731212844,3.4038461538461537,3.4038461538461537,0.15293155238527384,13.505408653846153
2039,3.112,-6.639901329037456,-64.54326923076923,142.72246823966242,69.133731212844,0.5562900641025641,0.5562900641025641,0.020059623407018057,0.9096554487179487
2040,0.2367,-6.639901329037456,-64.54326923076923,139.85393754277882,68.38830670469682,30.03125,30.03125,0.31242024245504474,715.3433493589744
2040,1.1514,-6.639901329037456,-64.54326923076923,139.85393754277882,68.38830670469682,3.259014423076923,3.259014423076923,0.14971913532554273,12.58233173076923
2040,3.112,-6.639901329037456,-64.54326923076923,139.85393754277882,68.38830670469682,0.5266426282051282,0.5266426282051282,0.019588756540142412,0.8569711538461539
2041,0.2367,-6.639901329037456,-64.54326923076923,141.72851783842376,67.70979331579453,29.872395833333332,29.872395833333332,0.3118874434966914,713.5875400641027
2041,1.1514,-6.639901329037456,-64.54326923076923,141.72851783842376,67.70979331579453,3.3243189102564106,3.3243189102564106,0.15174048651579872,13.102163461538462
2041,3.112,-6.639901329037456,-64.54326923076923,141.72851783842376,67.70979331579453,0.5458733974358974,0.5458733974358974,0.020506038409402873,0.8920272435897435
2042,0.2367,-6.639901329037456,-64.54326923076923,142.13533723931602,67.1194504876578,29.744391025641026,29.744391025641026,0.31240785919437875,708.8110977564103
2042,1.1514,-6.639901329037456,-64.54326923076923,142.13533723931602,67.1194504876578,3.269030448717949,3.269030448717949,0.15097746563365388,12.770633012820513
2042,3.112,-6.639901329037456,-64.54326923076923,142.13533723931602,67.1194504876578,0.5416666666666667,0.5416666666666667,0.021419748279324708,0.8912259615384616
2043,0.2367,-6.639901329037456,-64.54326923076923,141.37866728776754,66.39353132376648,29.416466346153847,29.416466346153847,0.3133242874565569,695.8339342948718
2043,1.1514,-6.639901329037456,-64.54326923076923,141.37866728776754,66.39353132376648,3.1925080128205128,3.1925080128205128,0.14809034635021748,12.32792467948718
2043,3.112,-6.639901329037456,-64.54326923076923,141.37866728776754,66.39353132376648,0.5228365384615384,0.5228365384615384,0.021196340656050985,0.8617788461538461
2044,0.2367,-6.639901329037456,-64.54326923076923,141.86802251589975,65.71751562020322,29.508814102564102,29.508814102564102,0.31655957214551006,695.1654647435897
2044,1.1514,-6.639901329037456,-64.54326923076923,141.86802251589975,65.71751562020322,3.1646634615384617,3.1646634615384617,0.1488907144930056,12.21113782051282
2044,3.112,-6.639901329037456,-64.54326923076923,141.86802251589975,65.71751562020322,0.5192307692307693,0.5192307692307693,0.020009124020797527,0.8641826923076923
