node_id,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
0,0.2367,-6.12565445026178,-78.75,86.43775843161922,42.79514886353228,8.583333333333334,15.916666666666666,0.40686552243690555,240.08333333333334
0,1.1514,-6.12565445026178,-78.75,86.43775843161922,42.79514886353228,2.5833333333333335,1.8333333333333333,0.2782848324514991,4.5
0,3.112,-6.12565445026178,-78.75,86.43775843161922,42.79514886353228,0.16666666666666666,0.25,0.0,0.3333333333333333
1,0.2367,-5.183246073298429,-78.75,96.61713045448931,51.775481415253104,11.416666666666666,37.166666666666664,0.39590469691905966,949.8333333333334
1,1.1514,-5.183246073298429,-78.75,96.61713045448931,51.775481415253104,3.0,3.8333333333333335,0.21372377622377622,14.333333333333334
1,3.112,-5.183246073298429,-78.75,96.61713045448931,51.775481415253104,0.4166666666666667,0.9166666666666666,0.0,1.4166666666666667
2,0.2367,-4.240837696335079,-78.75,116.87669768377911,60.73489584277973,13.333333333333334,39.916666666666664,0.3970738922156187,992.4166666666666
2,1.1514,-4.240837696335079,-78.75,116.87669768377911,60.73489584277973,2.25,3.5,0.23018578643578644,11.583333333333334
2,3.112,-4.240837696335079,-78.75,116.87669768377911,60.73489584277973,0.5833333333333334,0.75,0.0,1.1666666666666667
3,0.2367,-3.298429319371728,-78.75,121.33802775342748,54.710803920528775,13.916666666666666,29.583333333333332,0.4574230022778052,623.5
3,1.1514,-3.298429319371728,-78.75,121.33802775342748,54.710803920528775,2.25,2.8333333333333335,0.2207561728395062,7.75
3,3.112,-3.298429319371728,-78.75,121.33802775342748,54.710803920528775,0.4166666666666667,0.3333333333333333,0.0,0.4166666666666667
4,0.2367,-2.356020942408377,-78.75,135.88667402399906,65.55313542322638,13.666666666666666,69.41666666666667,0.37604565712128607,2270.3333333333335
4,1.1514,-2.356020942408377,-78.75,135.88667402399906,65.55313542322638,1.75,6.75,0.19617997293968167,28.0
4,3.112,-2.356020942408377,-78.75,135.88667402399906,65.55313542322638,0.6666666666666666,2.0833333333333335,0.04166666666666665,3.5
5,0.2367,-1.4136125654450262,-78.75,151.47052385520746,64.73655285061214,10.0,69.75,0.3969755939609218,2315.0
5,1.1514,-1.4136125654450262,-78.75,151.47052385520746,64.73655285061214,1.9166666666666667,6.833333333333333,0.26593526375829746,28.75
5,3.112,-1.4136125654450262,-78.75,151.47052385520746,64.73655285061214,1.1666666666666667,1.4166666666666667,0.06944444444444443,1.9166666666666667
6,0.2367,-8.952879581151834,-77.5,112.31292823611439,57.02628051622338,6.833333333333333,72.5,0.2889293898811413,3097.5833333333335
6,1.1514,-8.952879581151834,-77.5,112.31292823611439,57.02628051622338,2.6666666666666665,8.833333333333334,0.2030323855281516,52.166666666666664
6,3.112,-8.952879581151834,-77.5,112.31292823611439,57.02628051622338,1.1666666666666667,3.0833333333333335,0.1218253968253968,6.083333333333333
7,0.2367,-8.010471204188482,-77.5,95.82084492432614,50.864706070544834,7.916666666666667,62.166666666666664,0.2970875260450557,2428.1666666666665
7,1.1514,-8.010471204188482,-77.5,95.82084492432614,50.864706070544834,3.1666666666666665,6.75,0.2125531301506479,30.333333333333332
7,3.112,-8.010471204188482,-77.5,95.82084492432614,50.864706070544834,1.5,1.6666666666666667,0.20555555555555557,2.0833333333333335
8,0.2367,-7.0680628272251305,-77.5,99.77782359900216,54.12440300610077,9.583333333333334,41.166666666666664,0.32443079692094284,1157.0833333333333
8,1.1514,-7.0680628272251305,-77.5,99.77782359900216,54.12440300610077,3.9166666666666665,4.166666666666667,0.21785298035298037,12.833333333333334
8,3.112,-7.0680628272251305,-77.5,99.77782359900216,54.12440300610077,1.5,0.5833333333333334,0.1708333333333333,0.16666666666666666
9,0.2367,-6.12565445026178,-77.5,116.13325474039198,62.879643382502756,13.166666666666666,24.416666666666668,0.34675354334065345,498.5
9,1.1514,-6.12565445026178,-77.5,116.13325474039198,62.879643382502756,4.75,2.4166666666666665,0.2323895240561907,6.5
9,3.112,-6.12565445026178,-77.5,116.13325474039198,62.879643382502756,1.25,0.0,0.16666666666666666,0.0
10,0.2367,-5.183246073298429,-77.5,134.93985867870455,70.96464914505829,16.916666666666668,46.166666666666664,0.3452432509251569,1328.3333333333333
10,1.1514,-5.183246073298429,-77.5,134.93985867870455,70.96464914505829,5.666666666666667,5.0,0.15660443773371152,20.583333333333332
